"Event"	"Site"	"Date"	"Round"	"White"	"Black"	"Result"	"WhiteElo"	"BlackElo"	"WhiteTitle"	"BlackTitle"	"WhiteFideId"	"BlackFideId"	"Movetext"
"121926"	"Bad Woerishofen Seniors op 16th"	"Bad Woerishofen"	"2000.??.??"	"7"	"Thielemann, Joachim"	"Moeckel, Edgar"	"0-1"	1905	2105	NA	NA	NA	NA	"e2e4 d7d5 e4d5 d8d5 b1c3 d5a5 g1f3 g8f6 f1e2 c8f5 e1g1 e7e6 h2h3 b8d7 d2d3 c7c6 c1d2 a5c7 d1e1 f8d6 c3d1 e8g8 d1e3 f5g6 e3c4 d6e7 f3h4 f6d5 h4g6 h7g6 a2a3 e7f6 a1b1 f8e8 e1c1 a7a5 c2c3 b7b5 c4e3 d5f4 c1d1 a5a4 d3d4 f4e2 d1e2 a8d8 e3g4 e6e5 d4d5 c6d5 e2b5 c7c4 b5c4 d5c4 d2e3 d7f8 e3c5 f8e6 c5b4 e6f4 g4e3 d8c8 f1d1 e8d8 d1d8 f6d8 b1d1 d8g5 g1f1 f4d3 e3c4 d3b4 c4b6 c8d8 d1d8 g5d8 b6a4 b4c2 f1e2 d8g5 g2g3 f7f5 e2d1 c2a1 b2b4 a1b3 a4b6 b3d2 f2f4 e5f4 d1d2 f4g3 d2e2 g3g2 e2f2 g5e3 f2g2 e3b6 g2f3 g8f7 c3c4 f7e6 a3a4 e6d7 a4a5 b6a7 b4b5 a7c5 f3f4 d7c7 f4e5 c5d6 e5d5 d6b4 a5a6 c7b6 a6a7 b6a7 c4c5 a7b7"
"919849"	"Steinfurt Bezirksklasse 0304"	"Germany"	"2003.10.11"	"2.3"	"Bruessow, Roland"	"Sowa, Rudolf"	"0-1"	1187	1657	NA	NA	NA	NA	""
"1061447"	"Berlin-ch U14"	"Berlin"	"2004.02.01"	"1"	"Glantz, Robert"	"Karunaharamoorthy, Achudhan"	"1-0"	1295	NA	NA	NA	NA	NA	"e2e4 g8f6 e4e5 f6e4 d2d4 e7e6 g1f3 b7b6 f1d3 c8b7 d1e2 f7f5 b1d2 e4d2 c1d2 b8c6 c2c3 h7h6 d4d5 c6e7 f3h4 h8g8 d5d6 c7d6 e5d6 e7g6 h4g6 d8f6 g6f8 g8f8 h1g1 e6e5 e1c1 e5e4 d3a6 b7d5 c3c4 d5e6 d2c3 f6f7 b2b3 g7g5 a6b7 a8b8 b7d5 e6d5 d1d5 e8d8 d5e5 f7g6 c4c5 b6c5 c3a5 b8b6 a5b6 a7b6 e2b5 g6d6 g1d1 d6c7 e5d5 f8f7 b5a6 c7f4 c1b1"
"336129"	"CHN-chT"	"Suzhou"	"2001.04.04"	"9"	"Liang, Chong"	"Peng, Xiaomin"	"1/2-1/2"	2581	2648	NA	NA	NA	NA	"d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 e7e5 e1g1 b8c6 d4d5 c6e7 b2b4 a7a5 b4a5 a8a5 f3d2 c7c5 a2a4 a5a6 a1a3 f6d7 d2f3 g8h8 g2g3 e7g8 c1g5 f7f6 g5d2 g7h6 f3h4 h6g7 h4f3 g7h6 f3h4"
"276157"	"Albert Boxer Classic op"	"Winnipeg"	"2001.??.??"	"5.10"	"Vincent, Trevor"	"Reimer, Bruce"	"1-0"	1490	NA	NA	NA	NA	NA	"c2c4 e7e6 g1f3 d7d5 c4d5 e6d5 d2d4 c7c5 d4c5 f8c5 g2g3 d8b6 e2e3 g8f6 f1g2 c5b4 b1d2 f6e4 e1g1 e8g8 d2e4 d5e4 f3g5 f7f5 d1b3 g8h8 g5f7 f8f7 b3f7 b8a6 f7e8"
"1205396"	"SCG-chT Vojvodina"	"Sombor"	"2004.09.25"	"1.5"	"Parezanin, Darko"	"Nedeljkovic, Djordje"	"0-1"	2226	2202	NA	NA	NA	NA	"e2e4 e7e5 f1c4 b8c6 g1f3 d7d6 d2d4 c8g4 c2c3 g4f3 d1f3 d8f6 f3d1 e5d4 e1g1 g8e7 d1b3 a8b8 f2f4 g7g6 e4e5 f6f5 g1h1 f8g7 c3d4 c6d4 b3d1 d4c6 b1c3 e8g8 e5d6 c7d6 d1d6 f8d8 d6a3 a7a6 c4b3 g7d4 a3a4 b7b5 a4a6 b8b6 a6a3 b5b4 a3a4 b4c3 b3c2 f5b5 a4b5 b6b5 b2c3 d4c3 a1b1 b5b1 c2b1 c3d2 g2g3 e7f5 c1b2 f5e3 f1g1 c6d4 b1e4 d4e2 g1b1 d8b8 b2f6 b8b1 e4b1 e2c3 f6c3 d2c3 b1d3 g8f8 h1g1 c3e1 d3e2 f7f5 a2a4 f8e7 e2b5 e7d6 b5e8 d6c5 e8f7 c5b4 f7g8 h7h6 g8f7 g6g5 f4g5 h6g5 f7e8 f5f4 g3f4 g5f4 e8c6 e1h4 g1h1 e3c4 h1g2 c4e5 c6b5 f4f3 g2h3 e5c4 b5c6 f3f2 c6g2 c4e3"
"1860980"	"EU-ch 8th"	"Dresden"	"2007.04.03"	"1"	"Sievers, Stefan"	"Guseinov, Gadir"	"0-1"	2377	2586	NA	NA	NA	NA	"e2e4 c7c5 g1f3 g7g6 d2d4 c5d4 d1d4 g8f6 e4e5 b8c6 d4a4 f6d5 a4e4 d5b4 f1b5 f8g7 c2c3 b4a6 c1f4 a6c5 e4e3 d8b6 b5c4 c6a5 b1d2 a5c4 d2c4 b6c6 e1g1 c5e6 c4d2 b7b6 f4h6 g7h6 e3h6 c8b7 h2h4 g6g5 h4g5 h8g8 f1e1 e8c8 e1e3 g8g5 a1e1 d8g8 g2g3 g5g6 h6h4 e6g5 b2b3 g6h6 h4b4 c6e6 g1f1 c8b8 f1e2 a7a5 b4d4 g5f3 d2f3 e6f5 e1d1 b8c8 f3h4 f5e6 d4f4 h6h5 d1d4 g8g5 h4f3 g5f5 d4c4 c8b8 f4d4 b7f3 e3f3 f5e5 f3e3 d7d5 c4a4 e5e3 f2e3 e6g6 d4h8 b8b7 h8e8 g6c2 e2f3 c2d1 f3g2 d1h1"
"15467"	"Wichern op 5th"	"Hamburg"	"1999.10.21"	"8"	"Schoenfisch, Norbert"	"Werner, Gerhard"	"0-1"	1701	1782	NA	NA	NA	NA	"d2d4 g8f6 c2c4 e7e5 d4e5 f6g4 e2e4 g4e5 f2f4 e5c6 g1f3 f8c5 a2a3 d7d6 b1c3 c8g4 f1e2 e8g8 b2b4 c5b6 b4b5 c6e7 h2h3 g4f3 e2f3 e7g6 c3a4 d8h4 e1e2 h4f2 e2d3 f2d4 d3c2 d4a1 d1d5 a1d4 d5b7 d4c4 a4c3 b8d7 f3e2 c4c5 h1d1 a8b8 b7a6 c5f2 f4f5 d7c5"
"500690"	"BRA U20 Girls"	"Araraquara"	"2002.04.??"	"1"	"Shitsuka, Rabbith"	"Pinho, Eliza"	"0-1"	NA	NA	NA	NA	NA	NA	"d2d4 f7f5 g1f3 e7e6 g2g3 f8e7 f1g2 d7d6 e1g1 g8f6 c2c4 e8g8 b2b3 d8e8 c1b2 b8d7 d1c2 e8g6 b1d2 f6h5 e2e3 h5f6 f1e1 a8b8 e3e4 f6e4 d2e4 f5e4 c2e4 g6e4 e1e4 d7f6 e4e2 f8f7 f3g5 f7f8 g5e6 c8e6 e2e6 f8f7 a1e1 e7d8 e6e8 f7f8 e8e2 c7c6 b2a3 d8c7 e2e7 c7d8 a3d6 d8e7 d6b8 e7b4 e1d1 f8b8 d4d5 b8d8 d1c1 c6d5 c4d5 d8d7 g2h3 d7e7 h3e6 g8f8 c1c8 f6e8 c8c4 b4d6 c4c3 e8c7 c3f3 f8e8 f3e3 c7e6 d5e6 e7c7 e3e2 d6c5 g1g2 e8e7 f2f4 g7g6 g2f3 e7f6 e2e5 c5d6 e5e2 c7e7 e2e3 e7e6 e3e6 f6e6"
"1653197"	"Ghent op 29th"	"Ghent"	"2006.07.15"	"2"	"Van Dyck, Marc"	"Hoeksema, Hendrik Pieter"	"1-0"	2017	2378	NA	NA	NA	NA	"e2e4 c7c5 d2d4 c5d4 c2c3 d4c3 b1c3 e7e6 f1c4 a7a6 g1f3 b7b5 c4b3 c8b7 e1g1 b5b4 c3d5 e6d5 f1e1 d7d6 e4e5 g8e7 c1f4 e7g6 e5d6 e8d7 f3d4 g6f4 d1g4 d7d6 g4f4 d6c5 a1c1 c5b6 d4e6 d8f6 f4e3 d5d4 e6d4 f8c5 c1c5 b6c5 d4e6 c5d6 e3c5 d6d7 e1d1 d7e8 e6c7"
