"Event"	"Site"	"Date"	"Round"	"White"	"Black"	"Result"	"WhiteElo"	"BlackElo"	"WhiteTitle"	"BlackTitle"	"WhiteFideId"	"BlackFideId"	"Movetext"
"640115"	"Recklinghausen op 13th"	"Recklinghausen"	"2002.08.25"	"9"	"Schwierzy, Heinz"	"Czarnik, Jozef"	"1/2-1/2"	NA	2059	NA	NA	NA	NA	"d2d4 d7d5 g1f3 g8f6 e2e3 c7c5 c2c3 b8d7 f1d3 d8c7 b1d2 e7e5 d4e5 d7e5 f3e5 c7e5 e1g1 f8d6 d3b5 e8e7 d2f3 e5h5 b5e2 h8d8 f1e1 c8f5 f3e5 h5h4"
"1129528"	"Pardubice opB"	"Pardubice"	"2004.??.??"	"1"	"Mares, Ilja"	"Krapivin, Vladislav"	"0-1"	NA	2311	NA	NA	NA	NA	"e2e4 d7d6 d2d4 g8f6 b1c3 e7e5 d4e5 d6e5 d1d8 e8d8 c1g5 c7c6 f1c4 d8e8 a2a3 b8d7 e1c1 b7b5 c4b3 a7a5 f2f3 d7c5 b3a2 b5b4 c3b1 c8a6 g1h3 a8b8 g5e3 h7h6 h1e1 g7g5 h3f2 f8e7 h2h4 g5h4 e1h1 f6d7 f2g4 b4b3 a2b3 c5b3 c2b3 h6h5 g4h6 b8b3 h6f5 h8g8 d1d2 b3d3 h1d1 d3d2 d1d2 a6f1 f5e7 e8e7 e3f2 f1g2 f2h4 f7f6 d2d3 g2f1 d3d1 f1e2"
"1113278"	"SVK-ch"	"Bratislava"	"2004.06.??"	"3"	"Smolen, Jan"	"Hausner, Ivan"	"0-1"	2256	2408	NA	NA	NA	NA	"e2e4 d7d6 d2d4 g8f6 b1c3 c7c6 f2f4 d8a5 f1d3 e7e5 g1f3 c8g4 c1e3 b8d7 d1d2 g4f3 g2f3 f8e7 c3e2 a5d2 e1d2 e5d4 e2d4 g7g6 d4e2 d6d5 e2g3 d7c5 h2h4 d5e4 f3e4 e8c8 d2e2 h7h5 f4f5 h8e8 f5g6 f7g6 e4e5 c5d3 c2d3 f6g4 d3d4 c6c5 a1c1 g4e3 e2e3 d8d4 g3e4 d4d5 h1d1 d5e5 e3f4 e5f5"
"1449310"	"NOR-ch U20"	"Bergen"	"2005.09.10"	"4"	"Aadland, Hans Joachim"	"Bratbak, Anita"	"1-0"	NA	NA	NA	NA	NA	NA	"d2d4 d7d5 g1f3 e7e6 e2e3 g8f6 f1d3 b8c6 b2b3 c6b4 d3e2 c7c5 a2a3 b4c6 c1b2 f6e4 b1d2 e4d2 d1d2 f8e7 c2c4 e8g8 d2c2 e7d6 f3e5 d6e5 d4e5 d8g5 e1g1 c6e5 f2f4 g5g6 f4f5 g6f6 c2c3 e5d7 c3c2 e6e5 c4d5 f8e8 f1f3 f6h6 f3h3 h6g5 e2b5 e8e7 a1d1 d7f6 d5d6 e7d7 b5d7 c8d7 c2c5 a8e8 b2e5 g7g6 e5f6 g5f6 f5g6 f6g6 h3g3"
"1360799"	"GER-ch U16"	"Willingen"	"2005.05.17"	"6"	"Baldauf, Marco"	"Figura, Atila Gajo"	"0-1"	2134	2193	NA	NA	NA	NA	"e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 a7a6 c2c4 g8f6 b1c3 f8b4 f1d3 b8c6 a2a3 b4c3 b2c3 d8c7 f2f4 d7d6 e1g1 e8g8 g1h1 e6e5 d4c2 e5f4 c1f4 f6g4 c2b4 c6b4 c3b4 g4e5 a1c1 c7e7 d3e2 f8d8 d1d4 e5c6 d4d3 c8e6 d3g3 f7f6 f1d1 c6e5 c4c5 e6f7 c5d6 d8d6 f4e3 a8d8 d1d6 e7d6 h2h3 f7g6 e3c5 d6c6 e2f3 c6a4 c1c3 a4d7 c3c1 g8h8 g3f2 e5d3 f2d2 d3c1 d2c1 g6f7 c1c3 d7d3 c3e1 h7h6 e4e5 d8e8 f3b7 e8e5 e1f2 f7d5 b7d5 d3d5 h1h2 d5d3 a3a4 d3d1 f2d4 d1a4"
"589739"	"Rowy Jantar op-C 11th"	"Rowy"	"2002.06.12"	"5"	"Narczyk, Mateusz"	"Giemza, Joanna"	"1-0"	1800	1600	NA	NA	NA	NA	"e2e4 d7d5 e4d5 d8d5 b1c3 d5a5 g1f3 g8f6 f1b5 c7c6 b5a4 c8f5 a4b3 e7e6 d2d3 f8d6 c1g5 b8d7 g5d2 a5c7 d1e2 e8c8 e1c1 f5g4 h2h3 g4f3 e2f3 d7c5 b3c4 f6d5 a2a3 d5c3 d2c3 d6f4 c1b1 f4h6 h1e1 c5a4 c3e5 c7d7 e5h2 d7d4 c2c3 d4b6 e1e2 a4c3 b1c2 c3e2 f3f7 e2d4 c2b1 h8e8 d1e1 b6a5 b1a2 e6e5 e1e4 b7b5 e4d4 e5d4 c4e6 e8e6 f7e6 c8b7 e6e7 b7c8 e7e6 d8d7 e6c6 c8d8 h2e5"
"708753"	"Olympiad Women-35"	"Bled"	"2002.11.04"	"9.3"	"Socko, Monika"	"Shahade, Jennifer"	"1-0"	2354	2331	NA	NA	NA	NA	"d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 g1e2 d7d5 a2a3 b4e7 c4d5 e6d5 b2b4 b7b6 e2f4 c8b7 f1e2 f6e4 c1b2 e4c3 b2c3 b8d7 e1g1 d7f6 d1c2 e7d6 b4b5 a7a6 a3a4 a6b5 a4b5 d8d7 a1b1 f8e8 f4d3 f6e4 c3b4 a8c8 f1c1 c7c5 b5c6 c8c6 c2b2 d6b8 d3e5 c6c1 b1c1 d7f5 f2f4 h7h5 e2b5 e8c8 b5d7 c8c1 b2c1 f5f6 d7c8 b8e5 d4e5 f6c6 c1c6 b7c6 b4e7 g7g6 e7d8 b6b5 d8e7 e4c3 g1f2 c3a2 f2e2 b5b4 e2d2 b4b3 e7a3 g8g7 g2g3 c6b5 c8b7 b5c4 h2h3 g7h6 g3g4 h5g4 h3g4 h6g7 f4f5 g6f5 g4f5 g7h6 b7c6 h6g5 e5e6 f7e6 f5e6 d5d4 e6e7 d4e3 d2e3 c4f7 e3d2 b3b2 a3b2 a2b4 e7e8Q f7e8 c6e8 b4d5 d2d3 d5f6 e8c6 g5f5 d3d4 f5e6 c6g2 e6f5 g2h3 f5g5 h3c8 g5g6 d4e5 f6h5 b2c1 h5g7 c8a6 g6f7 a6c4 f7g6 c1d2 g7h5 c4d3 g6f7 d2g5 h5g7 e5d6 g7e8 d6d5 e8g7 d3e2 f7g6 g5d8 g6f7 d5e5 f7g6 d8f6 g6f7 f6h4 f7g6 e2d3 g6f7 e5d6 g7e8 d6d7 e8g7 d3b1 g7h5 b1a2 f7g6 d7e7 g6f5 a2e6 f5e4 e7d6 h5g7 e6d5 e4f4 h4e1 g7f5 d6c5 f4g5 e1d2 g5f6 d5b7 f5e7 d2c3 f6g5 c5d6 e7f5 d6e5 f5e7 c3d2 g5g6 e5e6 e7g8 b7a6 g8h6 a6b5 g6h5 b5e8 h5g4 d2h6"
"1154219"	"Mario Covas 4th"	"Santos"	"2004.07.31"	"1"	"Milos, Gilberto"	"Coelho, Luis Henrique"	"0-1"	2601	2391	NA	NA	NA	NA	"e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 b8c6 b1c3 d7d6 f1e2 g8f6 e1g1 f8e7 g1h1 e8g8 f2f4 c6d4 d1d4 b7b6 b2b3 c8b7 c1b2 d8c7 e2c4 a7a6 a2a4 a8d8 f4f5 d6d5 e4d5 e6d5 c4d3 e7d6 c3e2 f8e8 d4h4 d6e5 e2d4 c7e7 a1d1 d8d7 h4h3 e7b4 c2c3 b4c5 b3b4 c5c7 b4b5 a6a5 d4c6 b7c6 b5c6 d7e7 d3b5 e8d8 b2a3 e7e8 c3c4 d5d4 f1e1 e5d6 e1e8 d8e8 a3d6 c7d6 h3g3 d6c5 g3f4 h7h6 h2h3 e8d8 f4c7 d8e8 c7b7 e8e7 b7b8 g8h7 b8d8 f6e4 d1d4 e4g3 h1h2 g3e2 d4d1 c5e5 h2h1 e2g3 h1g1 g3e2 g1h1 e2g3 h1g1 e5e3 g1h2 g3f5 d8d3 e3e5 g2g3 g7g6 d1d2 e5e1 d2g2 f5e3 g2b2 e3f1 h2g1 f1d2"
"1352789"	"Berlin Unicorn op"	"Berlin"	"2005.05.08"	"7"	"Schiebler, Marc"	"Ruecker, Holger"	"1-0"	NA	NA	NA	NA	NA	NA	"e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 b8c6 c2c4 f8b4 c1d2 d8b6 d4c6 b7c6 d2b4 b6b4 d1d2 b4d2 b1d2 g8e7 b2b4 d7d5 c4c5 c8d7 a2a3 e8g8 f1d3 f7f6 e1g1 g7g5 g2g3 d5d4 f2f4 g5f4 g3f4 e6e5 f4f5 h7h5 h2h4 g8h7 g1h2 f8g8 f1g1 g8g1 a1g1 a8g8 d3e2 g8g1 h2g1 d7e8 d2c4 e7c8 g1f1 h7g7 f1e1 g7f8 e1d2 f8e7 d2c2 e7d7 c2b3 d7c7 c4d2 c8e7 d2f1 e7g8 f1g3 g8h6 g3h5 e8h5 e2h5 c7b7 a3a4 a7a6 b3c4 b7c7 b4b5 a6a5 b5c6 c7c6 h5e8 c6c7 c4b5 h6g4 b5a5 g4e3 e8h5 e3f5 e4f5 e5e4"
"2024301"	"Lipetsk Region-ch sf"	"Lipetsk"	"2007.10.03"	"4"	"Nikiforov, Vadim"	"Kasantsev, Anatolij B"	"1-0"	1975	2138	NA	NA	NA	NA	"e2e4 c7c5 g1f3 b8c6 f1b5 e7e6 e1g1 g8e7 f1e1 a7a6 b5f1 d7d5 e4d5 e7d5 d2d4 d5f6 c2c3 c5d4 c3d4 f8e7 b1c3 e8g8 c1g5 c6b4 d1d2 b4d5 a1c1 b7b5 c3d5 d8d5 e1e5 d5a2 d4d5 f8d8 d2f4 d8d5 c1c7 d5d7 f4c1 c8b7 g5f6 g7f6 c7d7 f6e5 d7e7 b7f3 g2f3 a2a4 c1g5 g8f8 g5f6 a4f4 e7f7"
