"Event"	"Site"	"Date"	"Round"	"White"	"Black"	"Result"	"WhiteElo"	"BlackElo"	"WhiteTitle"	"BlackTitle"	"WhiteFideId"	"BlackFideId"	"Movetext"
"1016039"	"SLO-ch U20"	"Celje"	"2004.01.11"	"3"	"Kralj, Blaz"	"Malic, Zeljko"	"0-1"	1500	1575	NA	NA	NA	NA	"e2e4 c7c5 g1f3 d7d6 b1c3 g8f6 f1c4 b8c6 f3g5 c6e5 c4b3 c5c4 b3a4 c8d7 a4d7 d8d7 e1g1 g7g6 d2d4 c4d3 c2d3 f8g7 d1b3 e8g8 d3d4 e5c6 c1e3 f6g4 h2h3 h7h6 g5f3 g4e3 f2e3 a8c8 b3a4 a7a6 d4d5 c6e5 a4b4 e5d3 b4b3 d3c5 b3b4 g7c3 b2c3 d7a4 b4a4 c5a4 f1c1 a4c3 f3d2 c3e2 g1f2 c8c1 a1c1 e2c1 a2a4 e7e6 d2c4 e6d5 e4d5 f8d8 f2f3 b7b5 a4b5 a6b5 c4b6 b5b4 b6a4 d8a8 a4b2 b4b3 g2g4 a8a2"
"1545303"	"Bad Zwesten op 10th"	"Bad Zwesten"	"2006.01.08"	"9"	"Gruettner, Ralf"	"Krallmann, Matthias"	"0-1"	2052	2263	NA	NA	NA	NA	"d2d4 d7d5 c2c4 d5c4 e2e4 b8c6 c1e3 g8f6 f2f3 e7e5 d4d5 c6e7 f1c4 a7a6 b1c3 e7g6 g1e2 f8d6 e1g1 e8g8 a1c1 d8e7 c4b3 c8d7 c3a4 b7b6 a2a3 h7h6 a4c3 a8e8 c3b1 f6h7 b1d2 b6b5 b3a2 f7f5 d1c2 h7g5 c2c7 e8c8 c7a7 c8a8 a7b6 f8b8 e3g5 h6g5 b6f2 b8c8 e4f5 d7f5 e2g3 f5d3 f1e1 g6f4 f2e3 g8h8 d2e4 g7g6 c1c6 c8c6 d5c6 d6b8 g1h1 b8a7 e3d2 a8c8 e1c1 e7d8 e4f2 d8d4 f2d3 f4d3 g3e4 d3c1 d2c1 c8c6 c1e1 d4b2"
"1951217"	"Ilichevsk Sunny Pawn op"	"Ilichevsk"	"2007.07.21"	"2"	"Lazar, Yaroslav"	"Rjanova, Valery"	"0-1"	NA	1976	NA	NA	NA	NA	"g1f3 g8f6 c2c4 g7g6 g2g3 f8g7 f1g2 e8g8 e1g1 d7d6 d2d4 b8d7 b1c3 e7e5 d4e5 d6e5 a1b1 c7c6 g2h3 a7a5 c1g5 d8c7 d1d2 f8e8 f1d1 e5e4 g5f4 c7b6 f3g5 h7h6 h3d7 c8d7 f4e3 b6b4 g5e4 f6e4 d2d7 b4c4 c3e4 c4e4 d7b7 a8b8 b7a7 e4a4 a2a3 b8b2 a7d7 b2b8 d1c1 a4a3 b1b8 e8b8 d7c6 a3b2 c6f3 a5a4 c1c7 b2b3 f3f4 b8b4 c7c8 g8h7 f4d6 a4a3 d6d8 h6h5 c8c7 b3b1 c7c1 b1e4 d8a5 b4a4 a5d2 a3a2 f2f3 e4b4 d2d7 a2a1Q c1a1 a4a1 g1g2 b4e1 g2h3 e1f1 h3h4 f1g2 e3h6 g2h2 h4g5"
"210902"	"CRO-chT U18"	"Pula"	"2000.09.16"	"6"	"Sertic, Rudolf"	"Paljusaj, Edmond"	"1/2-1/2"	2167	2223	NA	NA	NA	NA	"d2d4 g8f6 g1f3 g7g6 c2c4 f8g7 e2e3 d7d6 b2b3 c7c5 c1b2 c5d4 e3d4 c8f5 b1c3"
"1080790"	"Unterfranken-ch M2 55th"	"Bad Koenigshofen"	"2004.04.12"	"2"	"Guensch, Hans Georg"	"Markert, Markus"	"0-1"	1730	1819	NA	NA	NA	NA	"e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 e4d5 d8d5 g1f3 c5d4 f1c4 d5h5 d2b3 b8c6 b3d4 c8d7 c1e3 g8f6 d1e2 f8e7 e1c1 e8g8 h2h3 f8d8 g2g4 h5a5 c1b1 a8c8 d4b3 a5c7 g4g5 f6e8 c2c3 a7a5 c4b5 c8a8 a2a4 c6a7 b3d4 a7b5 d4b5 d7b5 e2b5 e8d6 b5c5 c7d7 e3f4 d7a4 d1d4 d6f5 d4a4 e7c5 f4c7 d8c8 a4a5 a8a5 c7a5 c5f2 h1d1 b7b6 a5b4 f2c5 b4c5 b6c5 d1d7 f7f6 h3h4 c8c6 b1c2 e6e5 g5f6 g7f6 h4h5 f5g3 h5h6 g3f5"
"426610"	"ITA-ch U20 24th"	"Bratto"	"2001.08.22"	"1"	"Castellano, Clara Fulvia"	"Berni, Giorgio"	"0-1"	1600	2141	NA	NA	NA	NA	"e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d8b6 d4b3 e7e6 c1e3 b6c7 f1e2 f8b4 d1d3 d7d5 f2f3 d5e4 f3e4 e8g8 e3c5 b4c5 b3c5 c6b4 d3d2 c7c5 e1c1 e6e5 c3b5 f6e4"
"803217"	"Virginia Beach Millennium op 4th"	"Virginia Beach"	"2003.03.29"	"2"	"Finegold, Benjamin"	"Dennis, Ronald"	"1-0"	2551	NA	NA	NA	NA	NA	"d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 g7g6 c1f4 f8g7 e2e3 e8g8 a1c1 e7e6 f1e2 b8d7 e1g1 d5c4 e2c4 d7b6 c4e2 b6d5 f4e5 d5c3 c1c3 f6e4 c3c1 f7f6 e5f4 d8e7 d1c2 e4d6 c2c5 d6f5 c5c4 g8h8 f1d1 f8d8 h2h3 c8d7 e3e4 f5h6 c4b3 d7e8 e4e5 h6g8 e2c4 e8f7 d1e1 d8e8 e5f6 g8f6 f3g5 f6d5 c4d5 c6d5 c1c7"
"1256882"	"Troisdorf op"	"Troisdorf"	"2004.11.30"	"5"	"Meissner, Wolf Dieter"	"Kolkin, Michail"	"0-1"	1998	2145	NA	NA	NA	NA	"e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 d2d3 g8f6 b1c3 d7d6 c1e3 c6d4 e3d4 e5d4 c3e2 c8g4 d1d2 d6d5 e4d5 e8g8 e1c1 f6d5 c1b1 b7b5 c4b3 a7a5 h2h3 g4f3 g2f3 a5a4 b3d5 d8d5 h1g1 g7g6 d2h6 c5d6 f3f4 f8e8 e2g3 f7f5 g3h5 d5f7 h6g5 g8h8 h5g3 d6e7 g5h6 f7f8 h6f8 e7f8 d1e1 a4a3 b2b3 f8d6 g3e2 d6b4 c2c3 b4c3 e2c3 d4c3 b3b4 e8e1 g1e1 a8a4 e1e8 h8g7 e8e7 g7h6 e7c7 a4b4 b1c2 b4b2 c2c3 b5b4 c3d4 b2a2 c7b7 a2f2 d4e3 f2f1"
"516847"	"POL-ch U18"	"Bartkowa"	"2002.??.??"	"?"	"Wozniak, Marcin"	"Slezak, Mariusz"	"1-0"	2078	NA	NA	NA	NA	NA	"c2c4 g8f6 g1f3 g7g6 g2g3 f8g7 f1g2 d7d6 b1c3 e8g8 e1g1 e7e5 d2d3 c7c6 c4c5 f8e8 c5d6 d8d6 c1e3 f6d5 c3e4 d6d7 e3d2 b8a6 a1c1 h7h6 d1c2 d7e7 a2a3 c8f5 b2b4 d5c7 a3a4 f5d7 c1b1 b7b6 f1c1 g8h7 c2c4 f7f5 e4g5 h6g5 f3g5 h7h8 c4h4 h8g8 h4h7 g8f8 h7g6 a8d8 g2c6 d7c6 c1c6 e7d7"
"1435144"	"Bratto op 25th"	"Bratto"	"2005.08.27"	"8"	"Cardini, Saverio"	"Buono, Michele"	"1/2-1/2"	2010	2133	NA	NA	NA	NA	"d2d4 d7d5 g1f3 g8f6 c1f4 c7c6 c2c3 c8f5 e2e3 d8b6 d1b3 b8d7 h2h3 h7h6 b1d2 e7e6 f1e2 f8e7 e1g1 e8g8 a1c1 f8c8 c3c4 f5g6 c4c5 b6b3 d2b3 b7b5 b3a5 a7a6 a5b7 a8a7 b7d6 c8d8 a2a3 f6e8 f3e5 d7e5 d4e5 f7f6 e2g4 e8c7 h3h4 f6e5 f4e5 e7h4 f1d1 d8f8 g2g3 h4f6 f2f4 f6e5 f4e5 a6a5 d1d4 g6f5 g4e2 a7a8 c1f1 a5a4 d4f4 c7a6 d6b7 a8b8 b7a5 g7g5 f4f2 a6c5 a5c6 b8b6 c6e7 g8h7"
