"Event"	"Site"	"Date"	"Round"	"White"	"Black"	"Result"	"WhiteElo"	"BlackElo"	"WhiteTitle"	"BlackTitle"	"WhiteFideId"	"BlackFideId"	"Movetext"
"1763445"	"Kharkov Femida"	"Kharkov"	"2006.11.04"	"5"	"Kovchan, Alexander"	"Erdogdu, Mert"	"1-0"	2518	2383	NA	NA	NA	NA	"e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e6 c1e3 a7a6 f2f3 b7b5 d1d2 b8d7 g2g4 d7b6 a2a4 b6c4 f1c4 b5c4 a4a5 c8b7 c3a4 f6d7 e1c1 f8e7 d4e2 e8g8 a4b6 d7b6 e3b6 d8d7 e2c3 a8c8 d2e3 e7d8 d1d2 d8b6 e3b6 c8c6 b6b4 d7c7 h1d1 f8d8 c3a4 h7h6 c1b1 g8h7 f3f4 b7a8 d2d4 c4c3 b2b3 d8b8 a4b6 c6c5 d4d6 c5b5 b6a8 b8a8 b4a4 b5a5 a4c6 a8c8 c6c7 c8c7 d6d7 a5c5 d7c7 c5c7 d1d4 f7f5 g4f5 e6f5 e4f5 c7c5 f5f6 g7f6 d4d6 c5f5 d6a6 f5f4 a6c6 f4f3 b1a2 h7g6 b3b4 g6g5 a2b3 f3h3 b4b5 h3h2 b5b6 h2h1 b3a2 h1h4 a2b3 h4h1 c6c5 f6f5 c5b5"
"661044"	"HUN-chT2 Erkel 0203"	"Hungary"	"2003.03.02"	"8"	"Biro, Zsolt"	"Barta, Zoltan"	"1-0"	2103	2105	NA	NA	NA	NA	"e2e4 c7c5 b2b4 b7b6 b4c5 b6c5 b1c3 b8c6 a1b1 g7g6 f1c4 f8g7 g1f3 e7e6 e1g1 g8e7 f1e1 d7d6 c1b2 a8b8 c3a4 c6d4 b2d4 b8b1 d1b1 c5d4 c4b5 c8d7 b1b4 d7b5 b4b5 d8d7 e1b1 d7b5 b1b5 e8g8 b5b7 e7c8 g1f1 f8e8 b7b4 e6e5 b4b8 g8f8 f1e2 f7f5 d2d3 c8e7 b8b7 e7c8 b7b8 c8e7 b8b7 e7c8 b7c7 g7f6 f3d2 h7h6 d2c4 f6e7 f2f3 f8f7 c4a5 c8b6 a4b6 a7b6 a5c6 f7e6 c6b4 e8a8 c7b7 e7d8 b4c6 d8g5 c6b4 g5d8 b4c6 d8g5 b7a7 a8c8 c6b4 h6h5 e2d1 g5d8 b4d5 g6g5 a7h7 h5h4 d1c1 f5e4 f3e4 c8a8 h7h8 a8b8 h8h7 b8a8 c1b2 a8a5 h7h8 d8e7 h8h6"
"1276533"	"Bykova Memorial (Women)"	"Vladimir"	"2004.12.18"	"11"	"Pogonina, Natalija"	"Shaydullina, Sandugach"	"0-1"	2385	2308	NA	NA	NA	NA	"e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 f1e2 e7e5 d4f3 h7h6 e1g1 f8e7 f1e1 e8g8 h2h3 a7a6 a2a4 c8e6 e2f1 d8c7 c1e3 a8c8 c3d5 e6d5 e4d5 c6b4 c2c4 a6a5 f3d2 f6d7 d2e4 f7f5 e4c3 c7d8 c3b5 d7c5 e3d2 b4a6 d2c3 c5e4 f1d3 e4c3 b5c3 e5e4 d3f1 e7f6 d1c2 f6e5 a1b1 d8g5 c2c1 e5f4 c1d1 a6c5 c3e2 f4e5 e2d4 f8f6 d4e6 c5e6 d5e6 f6e6 d1d5 c8e8 d5a5 e6g6 a5d5 g8h7 b2b4 h6h5 d5d1 h5h4 d1c1 e5f4 c1d1 e8c8 g1h1 c8c4 b1b3 c4c1 d1e2 c1e1 e2e1 d6d5 e1d1 f4e5 h1g1 d5d4 b4b5 d4d3 f2f3 g5g3 f3e4 g3h2 g1f2 e5d4 f2e1 h2g3"
"1600058"	"SCG Festival U18 14th"	"Vrnjacka Banja"	"2006.??.??"	"7"	"Scekic, Veljko"	"Guzsvany, Arpad"	"1-0"	2038	2002	NA	NA	NA	NA	"c2c4 c7c6 g1f3 g8f6 b1c3 d7d5 c4d5 c6d5 d2d4 b8c6 c1f4 a7a6 e2e3 e7e6 f1d3 f8d6 g2g3 e8g8 e1g1 b7b5 a1c1 c8b7 g3g4 d6f4 e3f4 c6e7 f3e5 a8c8 d1f3 b5b4 g4g5 f6e4 c3e4 d5e4 d3e4 b7e4 f3e4 d8d5 e4d5 e7d5 e5d3 a6a5 g1g2 d5e7 c1c5 c8a8 d3e5 f8d8 c5c7 g8f8 c7e7 f8e7 e5c6 e7e8 c6d8 a8d8 f1d1 d8d5 g2f3 e8d7 f3e3 f7f6 h2h4 d7c7 d1c1 c7b7 c1g1 f6f5 g1c1 g7g6 h4h5 g6h5 c1h1 b7c6 h1h5 d5d7 h5h1 c6b6 h1c1 d7e7 c1c5 e7g7 c5e5 g7g6 d4d5 e6d5 e3d4 h7h6 e5f5"
"1366085"	"ROM-chT"	"Baile Tusnad"	"2005.05.27"	"7"	"Sarkozi, Ferenc"	"Raceanu, Valentin"	"0-1"	1980	2402	NA	NA	NA	NA	"d2d4 d7d5 c2c4 e7e6 b1c3 c7c6 e2e3 f8d6 g1f3 f7f5 f1d3 g8f6 e1g1 e8g8 f3e5 b8d7 f2f4 f6e4 c3e4 d5e4 d3e2 c6c5 b2b3 b7b6 c1a3 d8c7 d1d2 f8d8 d2c2 c5d4 a3d6 c7d6 e5d7 d4d3 c2d2 d8d7 e2d1 c8a6 a1c1 e6e5 g2g4 g7g6 b3b4 e5f4 f1f4 a8f8 d1b3 g8g7 c4c5 d6e5 c5b6 a7b6 c1f1 d7d6 a2a4 a6c8 g4f5 c8f5 f1c1 d6d7 a4a5 b6a5 c1c5 e5a1 c5c1 a1f6 b4b5 f8b8 b3a4 f6e5 h2h4 d7c7 c1c7 e5c7 d2b2 g7h6 g1g2 c7b6 a4d1 b8f8 b2f2 f8d8 f2b2 b6c5 d1a4 d8f8 b2f2 c5b4 f2g3 b4a4 g3g5 h6g7 h4h5 a4a2 g2g3 a2e6 h5h6 g7g8 g5h4 d3d2 h4h1 g6g5 f4f2 e6d6"
"570475"	"St Petersburg-ch (Women)"	"St Petersburg"	"2002.04.23"	"8"	"Epstein, Anna"	"Sudakova, Irina"	"0-1"	2108	2369	NA	NA	NA	NA	"e2e4 c7c5 g1f3 b8c6 f1b5 g7g6 e1g1 f8g7 f1e1 e7e5 b5c6 d7c6 h2h3 d8e7 d2d3 g8f6 b1d2 e8g8 d2c4 f6h5 b2b3 b7b5 c4e3 h5f4 c1b2 f7f5 e3f1 f5e4 e1e4 c8f5 e4e1 e5e4 b2g7 e7g7 d3e4 a8d8 f1d2 f5h3 g2h3 f4h3 g1f1 g7h6 e1e3 h3f4 f3g1 h6h2 e3g3 f4d3 g3f3 h2f2"
"2013196"	"BCF-chT2 0708 (4NCL)"	"Sunningdale"	"2008.05.03"	"9"	"MacKenzie, Colin"	"Forman, Karl"	"1/2-1/2"	2117	2023	NA	NA	NA	NA	"c2c4 f7f5 g2g3 g8f6 g1f3 g7g6 f1g2 f8g7 e1g1 e8g8 d2d3 d7d6 b1c3 e7e5 c4c5 b8c6 b2b4 e5e4 d3e4 f6e4 d1b3 g8h8 c1b2 c8e6 b3e6 e4c3 b2c3 g7c3 a1b1 c3b4 c5d6 b4d6 b1b7 f8e8 e6c4 c6e5 c4h4 d8d7 h4d4 d7g7 d4a4 g7d7 a4a6 d7c6 a6c6 e5c6 e2e3 a8b8 f1b1 b8b7 b1b7 e8b8 b7b8 c6b8 f3d4 a7a6 g2b7 h8g7 h2h4 g7f6 g1f1 c7c5 d4c2 h7h6 f1e2 g6g5 h4g5 h6g5 c2a3 d6c7 a3c4 a6a5 e2f3 b8d7 e3e4"
"794054"	"Internet Section 14-A"	"Dos Hermanas"	"2003.03.14"	"5"	"De Cresce el Debs, Felipe"	"Timpani, Nicola"	"1-0"	NA	2120	NA	NA	NA	NA	"e2e4 d7d5 b1c3 g8f6 e4e5 f6d7 f2f4 e7e6 g1f3 c7c5 g2g3 b8c6 f1g2 c5c4 d2d4 c4d3 c2d3 b7b6 e1g1 c8a6 f3g5 h7h6 d1h5 g7g6 h5h3 a6d3 g5e6 f7e6 h3e6 c6e7 g2d5 h8h7 f1d1 d3f5 c3e4 d8c7 e4d6 e8d8 d6f5 e7f5 d5a8 c7c5 g1h1 h7e7 e6g6 c5c2 a8f3 e7g7 g6f6 f8e7 f6c6 e7c5 e5e6 c2f2 d1d7"
"575180"	"Helsinki We HSK op"	"Helsinki"	"2002.??.??"	"5"	"Sorri, Kari Juhani"	"Hurme, Harri M"	"1/2-1/2"	2266	2220	NA	NA	NA	NA	"d2d4 d7d5 g1f3 b8c6 g2g3 c8g4 f1g2 d8d7 b1c3 e8c8 a2a3 f7f6 b2b4 g4h3 g2h3 d7h3 e2e3 e7e5 c1b2 e5e4 f3d2 f6f5 d2b3 g8f6 d1e2 g7g5 e1c1 f5f4 c3a4 h3h5 e2b5 a7a6 b5f1 f4e3 f2e3 h5f3 c1b1 f3f1 d1f1 f8e7 a4c5 f6g4 b2c1 d8f8 h2h3 g4h6 g3g4 c6d8 b3d2 f8f7 f1f7 h6f7 c2c4 c7c6 c4d5 c6d5 c5a4 d8e6 a4b6 c8d8 b6d5 f7d6 d5c3 h7h5 h1g1 h5g4 h3g4 h8h3 d2e4 d6c4 c3d5 h3h2 e4g3 a6a5 g3f5 e7f8 e3e4 c4d2 c1d2 h2d2 g1f1 d8e8 f1c1 a5b4 a3b4 e6d4 c1c8 e8f7 c8c7 f7e6 c7b7 e6e5 b7b8 d4e6 b1c1 d2g2 d5e3 g2g1 c1c2 e5e4 b8e8 e4e5 c2d3 e5f6 e3d5 f6f7 e8b8 g1g4 b4b5 e6f4 d5f4 g4f4 f5d4 f8c5 d4e2 f4b4 e2c3 g5g4 b8c8 c5d4 c3e4 d4e5 c8c5 f7e6 c5c6 e6f5 e4d6 f5f4 c6c4 b4c4 d6c4 g4g3 d3e2 e5d4 e2f1 f4f3 c4d2 f3e3 f1g2 e3d2 g2g3"
"1704902"	"EU-ch U18 Girls"	"Herceg Novi"	"2006.09.19"	"9"	"Gasik, Anna"	"Mader, Manuela"	"1/2-1/2"	2068	2163	NA	NA	NA	NA	"e2e4 c7c6 d2d4 d7d5 e4d5 c6d5 c2c3 b8c6 f1d3 d8c7 g1e2 c8g4 c1f4 c7d7 e1g1 g8f6 d1b3 e7e6 b1d2 f8e7 a1e1 g4h5 e2g3 h5g6 d3g6 h7g6 d2f3 f6h5 g3h5 g6h5 f3e5 c6e5 f4e5 f7f6 e5f4 g7g5 f4d2 e7d6 c3c4 e8c8 c4d5 e6d5 d2b4 d6b4 b3b4 h8e8 e1e8 d8e8 f1e1 e8e1 b4e1 d7a4 e1e6 c8c7 e6e7 c7c8 e7e6 c8c7 e6e7"
