"Event"	"Site"	"Date"	"Round"	"White"	"Black"	"Result"	"WhiteElo"	"BlackElo"	"WhiteTitle"	"BlackTitle"	"WhiteFideId"	"BlackFideId"	"Movetext"
"1496408"	"BCF-chT2 0506 (4NCL)"	"Birmingham"	"2005.10.23"	"2.3"	"Abayasekera, Roger"	"Buckley, Simon T"	"1/2-1/2"	2210	2338	NA	NA	NA	NA	"g1f3 c7c5 c2c4 b8c6 d2d4 c5d4 f3d4 a8b8 b1c3 e7e6 g2g3 a7a6 f1g2 d8c7 e1g1 g8f6 b2b3 c7a5 c1b2 a5h5 e2e3 h5g6 d1b1 c6d4 e3d4 b7b5 b1g6 h7g6 c4c5 b5b4 c3e4 f6e4 g2e4 f8e7"
"524178"	"IND-ch 39th"	"Nagpur"	"2002.01.23"	"8"	"Saravanan, Venkat"	"Swati, Ghate"	"1-0"	2393	2362	NA	NA	NA	NA	"c2c4 e7e5 b1c3 g8f6 g2g3 d7d5 c4d5 f6d5 f1g2 d5b6 g1f3 b8c6 e1g1 f8e7 a1b1 e8g8 b2b4 f7f6 d2d3 c8e6 b4b5 c6d4 f3d2 c7c6 a2a4 c6b5 c3b5 d4b5 b1b5 d8d7 d2c4 b6c4 b5b7 d7d6 d3c4 e6c4 d1c2 a8c8 b7a7 f8d8 c1e3 e7f8 g2e4 h7h6 e4f5 c4e6 f5e6 d6e6 c2g6 c8c4 f1b1 c4g4 g6c2 g4c4 c2g6 c4g4 g6c2 g4c4 c2b3 f6f5 a7c7 f5f4 b3c4 e6c4 c7c4 f4e3 f2e3 d8a8 g1f2 a8a7 f2f3 g8f7 f3e4 f8e7 b1c1 a7a5 c1b1 a5a7 b1b5"
"1165085"	"Budapest FS08 GM"	"Budapest"	"2004.08.11"	"5"	"Turov, Maxim"	"Manca, Federico"	"1/2-1/2"	2536	2366	NA	NA	NA	NA	"e2e4 g7g6 d2d4 f8g7 b1c3 c7c6 g1f3 d7d5 h2h3 g8f6 f1d3 d5e4 c3e4 f6e4 d3e4 e8g8 e1g1 b8d7 c2c3 d8c7 f1e1 b7b6 c1g5 e7e6 d1d2 c8b7 a1d1 d7f6 g5h6 a8d8 h6g7 g8g7 f3e5 f6e4 e1e4 c7e7 e4e3 c6c5 e3d3 b7e4 d3g3 c5d4 d2f4 d4c3 d1d8 e7d8 g3c3 e4d5 e5g4 g6g5 f4c1 f7f6 h3h4 h7h5 g4e3 g5g4 e3f1 d5e4 c1e1 e4f5 f1g3 g7g6 e1c1 d8d6 g3f5 e6f5 c3c6 d6e5 a2a4 g6g7 g2g3"
"1584903"	"EU-ch 7th"	"Kusadasi"	"2006.04.07"	"4"	"L'Ami, Erwin"	"Jobava, Baadur"	"0-1"	2550	2614	NA	NA	NA	NA	"d2d4 d7d5 c2c4 e7e6 b1c3 f8b4 g1f3 g8f6 d1a4 b8c6 c1g5 c8d7 a4b3 a7a5 a2a3 a5a4 b3c2 h7h6 g5f6 b4c3 c2c3 d8f6 e2e3 e8g8 f1e2 d5c4 e2c4 f8c8 e1g1 c6a5 f3e5 d7e8 c4a2 c7c5 d4d5 e6d5 a2d5 a8a7 e3e4 b7b6 f2f4 a5c6 c3g3 c6e7 a1d1 e7d5 e4d5 e8b5 f1e1 f6d6 g3c3 c8e8 e5c4 e8e1 d1e1 d6f4 c4b6 a7e7 h2h3 f4d4"
"776604"	"Aragon-chT"	"Aragon"	"2003.03.22"	"9"	"Martin Barbero, Roberto"	"Javierre Conesa, Alfonso"	"1-0"	1986	2050	NA	NA	NA	NA	"c2c4 c7c6 g2g3 d7d5 c4d5 c6d5 f1g2 g8f6 g1f3 b8c6 d2d4 g7g6 e1g1 f8g7 b1c3 e8g8 f1e1 f8e8 f3e5 e7e6 e2e4 d5e4 e5c6 b7c6 c3e4 f6d5 c1g5 d8d7 a1c1 h7h6 e4c5 d7d6 g5e3 c8d7 d1a4 e8c8 g2d5 d6d5 c5d7 d5d7 c1c4 a8b8 b2b3 b8b5 e1c1 b5d5 c4c6 c8c6 a4c6 d7c6 c1c6 d5a5 a2a4 g8h7 c6c5 a5a6 c5b5 g6g5 d4d5 e6d5 b5d5 h7g6 d5d7 h6h5 e3a7 h5h4 g3h4 g5h4 h2h3 a6c6 b3b4 c6c4 d7b7 g7c3 a7c5 f7f6 a4a5 c3d4 c5d4 c4d4 a5a6"
"444957"	"Baden VLS 0102"	"Germany"	"2002.01.13"	"5.4"	"Balzert, Antonius"	"Jehnichen, Guenther"	"0-1"	NA	NA	NA	NA	NA	NA	"e2e4 c7c6 d2d4 d7d5 e4d5 c6d5 c2c4 e7e6 b1c3 g8f6 g1f3 b8c6 c4c5 g7g6 c1f4 f6h5 f4g5 f8e7 g5h6 a7a6 d1d2 b7b6 c3a4 b6c5 d4c5 a8b8 g2g4 h5f6 f3d4 c6e5 f1g2 c8d7 h6g7 h8g8 g7f6 e7f6 a4b6 e5g4 e1g1 d8c7 d4f3 d7c6 a1e1 e8f8 a2a4 f8g7 h2h3 g4e5 f3d4 b8b6 c5b6 c7b6 b2b3 g8b8 g1h1 e5d7 d4c6 b6c6 e1c1 c6b6 d2d3 a6a5 c1c2 b6b3 d3b3 b8b3 c2c7 d7e5 c7a7 e5c4 f1d1 b3b4 g2f1 b4a4 f1c4 a4c4 a7a5 c4f4 h1g2 f6h4 a5a2 h7h5 d1d3 g7f6 d3f3 f4f3 g2f3 f6f5 a2a4 g6g5 f3e3 f5e5 a4a8 e5f5 a8a4 e6e5 a4a7 f7f6 a7h7 d5d4 e3e2 e5e4 h7d7 f5e5 d7d8 g5g4 d8h8 d4d3 e2e1 g4h3 h8h5 h4g5 h5h3 e5d4 h3h8 d4e5 e1f1 e5f4 h8h3 f6f5 f1e1 g5e7 e1d1 e7b4 h3h7 f4f3 h7b7 b4c5 b7b5 c5f2 b5f5 f3e3 f5f7 f2g3 f7f8 g3f4 d1e1 e3f3 f8d8 d3d2"
"840023"	"Lido Estensi op 4th"	"Lido Estensi"	"2003.06.10"	"4"	"Di Lazzaro, Gabriele"	"Sarno, Spartaco"	"0-1"	1996	2425	NA	NA	NA	NA	"e2e4 c7c6 d2d4 d7d5 e4d5 c6d5 c2c4 g8f6 b1c3 g7g6 d1b3 f8g7 g1f3 e8g8 c4d5 b8d7 f1e2 d7b6 e1g1 f6d5 a2a4 c8e6 b3d1 d5c3 b2c3 a8c8 c1d2 e6c4 a4a5 b6d5 e2c4 c8c4 d1b3 d8c7 f1e1 f8c8 a1b1 b7b6 a5b6 a7b6 f3g5 e7e5 g5f3 d5c3 d2c3 c4c3 b3b6 c7b6 b1b6 e5d4 b6d6 c3c4 g1f1 g8f8 d6d7 g7f6 d7d5 c8d8 d5d8 f6d8 e1d1 d8b6 f1e2 f8e7 d1d2 c4b4 e2d3 f7f6 d3e4 e7d6 d2a2 f6f5 e4d3 d6d5 a2a3 b4b2 f3d2 b6c5 a3b3 b2a2 g2g3 c5a3 b3b5 d5c6 b5a5 a2d2 d3d2 a3b4 d2d3 b4a5 d3d4 c6d6 d4e3 d6e5 f2f4 e5d5 e3f3 d5d4 g3g4 d4d3"
"568383"	"Dortmund2"	"Dortmund"	"2002.05.22"	"9"	"Demirhan, Esen"	"Krueger, Inge"	"1-0"	1418	1436	NA	NA	NA	NA	"c2c4 g8f6 d2d4 d7d5 b1c3 e7e6 a2a3 f8e7 g2g3 e8g8 c4d5 e6d5 f1g2 c7c6 g1f3 c8f5 f3h4 f5e6 e1g1 b8d7 d1c2 d8c7 h4f5 e6f5 c2f5 e7d6 e2e4 d5e4 c3e4 f6e4 g2e4 d7f6 c1g5 f6e4 f5e4 a8e8 e4d3 h7h6 g5d2 e8e7 b2b4 a7a6 a1c1 b7b5 f1e1 f8e8 e1e7 e8e7 d4d5 c6c5 b4c5 d6c5 d2b4 c7c8 c1c5 e7c7 d3e3 c7c5 e3c5 c8c5 b4c5 f7f5 d5d6 g8f7 d6d7"
"736461"	"Rilton Cup 32nd"	"Stockholm"	"2003.01.05"	"9"	"Moreau, Teodor"	"Lobron, Eric"	"1/2-1/2"	2240	2500	NA	NA	NA	NA	"d2d4 g8f6 c2c4 d7d6 b1c3 b8d7 e2e4 e7e5 g1f3 c7c6 f1e2 f8e7 e1g1 e8g8 f1e1 a7a6 h2h3 f8e8 e2f1 b7b5 a2a3 c8b7 b2b4 e7f8 d4e5 d6e5 c1b2 d8e7 d1b3 b7c8 c4c5 a6a5 c3d5 c6d5 e4d5 a5b4 a3b4 a8a1 e1a1 d7c5 b4c5 e7c5 f1b5 c8d7 b5d7 f6d7 b3a4 e8b8 b2e5 d7e5 f3e5 c5d5 a1e1 h7h5 a4c4 d5c4 e5c4 b8b4 e1c1 h5h4 g1f1 b4a4 c1c2 f8e7"
"9788"	"Bundesliga 9900"	"Germany"	"2000.01.08"	"7.2"	"Wahls, Matthias"	"Nunn, John DM"	"1/2-1/2"	2579	2601	NA	NA	NA	NA	"g1f3 g8f6 g2g3 g7g6 c2c4 f8g7 f1g2 c7c6 e1g1 d7d5 c4d5 c6d5 d2d4 e8g8 b1c3"
