"Event"	"Site"	"Date"	"Round"	"White"	"Black"	"Result"	"WhiteElo"	"BlackElo"	"WhiteTitle"	"BlackTitle"	"WhiteFideId"	"BlackFideId"	"Movetext"
"128191"	"USA-chT Amateur East"	"Parsippany"	"2000.03.20"	"4"	"Bonin, Jay R"	"Schmauch, Bruce"	"1-0"	2419	NA	NA	NA	NA	NA	"d2d4 d7d5 c2c4 e7e6 g1f3 g8f6 b1c3 f8e7 c1g5 h7h6 g5f6 e7f6 e2e3 e8g8 d1c2 c7c6 e1c1 a7a5 h2h4 b8a6 g2g4 a6b4 c2b1 g7g6 g4g5 f6g7 a2a3 b4a6 h4h5 h6g5 h5g6 f7f5 c4d5 c6d5 f1a6 a8a6 h1h7 g5g4 f3e5 c8d7 d1h1 d7e8 b1d3 g7e5 d4e5 e8g6 h7h6 g8g7 c3e2 d8c7 c1b1 c7e5 e2f4 f8f6 d3b5 e5c7 h6g6 f6g6 b5e8 g7f6 e8g6 f6e5 f4d3 e5e4 h1d1 g4g3 d3c5 c7c5 g6g3 d5d4 g3g2 e4e5"
"292694"	"Ligue-ch"	"France"	"2001.??.??"	"?"	"Leignel, Nicolas"	"Wallart, Adrien"	"0-1"	2133	2207	NA	NA	NA	NA	"e2e4 c7c5 c2c3 d7d6 d2d4 g8f6 f1d3 b8c6 g1f3 e7e5 e1g1 c8g4 d4d5 c6e7 h2h3 g4d7 c3c4 g7g6 b1c3 f8g7 d3c2 e8g8 a2a3 h7h6 b2b4 b7b6 c2a4 g6g5 a4d7 d8d7 b4b5 e7g6 f3h2 g6f4 h2g4 f6e4 c3e4 f7f5 g4h6 g7h6 c1f4 g5f4 d1h5 g8g7 e4g5 h6g5 h5g5 g7f7 g5h5 f7e7 h5g5 e7e8 f1e1 d7e7 g5e7 e8e7 a3a4 e7f6 f2f3 f8e8 a4a5 a8b8 a5b6 a7b6 e1f1 b8b7 a1a6 f6g5 g1f2 e5e4 f3e4 f5e4 f2e2 e4e3 e2f3 g5f5 f1e1 e8g8 g2g4 f4g3 a6a3 g3g2 e1g1 b7h7 a3e3 h7h3 f3f2 h3e3 f2e3 f5e5"
"790485"	"Sao Paulo Interclubs"	"Sao Paulo"	"2003.??.??"	"6"	"Marques, Vinicius de Abreu"	"Zenni, Mohamad Hassan"	"1-0"	2319	2120	NA	NA	NA	NA	"g1f3 g8f6 c2c4 c7c6 d2d4 d7d5 e2e3 e7e6 b1c3 f8d6 d1c2 e8g8 f1d3 d5c4 d3c4 b7b5 c4d3 c8b7 e1g1 b8d7 c1d2 a8c8 h2h3 a7a6 f3g5 h7h6 g5e4 d6e7 e4f6 d7f6 c3e4 c6c5 e4f6 e7f6 d4c5 d8d5 e3e4 d5d4 d2e3 d4b2 a1d1 f8d8 c2b3 f6d4 b3b2 d4b2 d3c2 e6e5 d1d8 c8d8 f2f4 b2d4 e3d4 d8d4 f4e5 d4d7 c2b3 d7e7 f1d1 b7e4 d1e1 e4c6 e5e6 g8f8 e1f1 f7f6 f1d1 e7c7 d1d8 c6e8 d8a8 c7c5 a8a6 c5c7 g1f2 f8e7 f2e3 e8c6 g2g3 c6g2 h3h4 g2f1 e3d4 g7g5 a6a8 f1c4 b3c4 c7c4 d4d5 c4c2 a8a7 e7e8 h4h5 c2d2 d5e4 d2f2 a2a3 f6f5 e4e5 f5f4 g3g4 f2d2 a7h7 d2e2 e5f6 e8d8 h7d7 d8c8 d7d3 f4f3 d3f3 e2e4 f6f7"
"1123481"	"Berlin Kreuzberg op 5th"	"Berlin"	"2004.07.01"	"6"	"Zschaebitz, Klaus"	"Albrecht, Rainer"	"1-0"	2125	2245	NA	NA	NA	NA	"d2d4 d7d5 c2c4 c7c6 d1c2 g8f6 g1f3 e7e6 e2e3 b8d7 b1c3 f8d6 b2b3 e8g8 f1e2 f8e8 e1g1 d8e7 f1d1 b7b6 e3e4 f6e4 c3e4 d5e4 c2e4 c8b7 c1g5 f7f6 g5e3 a8d8 e4c2 c6c5 e2d3 f6f5 e3g5 d7f6 d4d5 h7h6 d1e1 e7f8 g5d2 e6d5 d3f5 f6e4 f5g6 d6h2 g1f1 e4d2 f3d2 e8e1 a1e1 d5d4 g6h7 g8h8 h7e4 b7e4 c2e4 h2d6 d2f3 f8f6 f3h4 h8g8 h4f5 d6f8 e4e6 f6e6 e1e6 g8f7 e6c6 d8d7 f1e2 f8e7 e2d3 e7f6 f5g3 g7g6 g3e4 f6g7 a2a4 g7f8 a4a5 d7b7 a5a6 b7d7 f2f4 f7g7 e4f6 d7f7 f6e8 g7h7 e8f6 h7g7 f6d5 f7d7 c6c7 d7f7 c7f7 g7f7 d5b6 f8d6 b6d5 f7e6 d3e4 h6h5 g2g3 d6f8 d5c7 e6d6 c7d5 d6c6 e4e5 f8d6 e5e6 d4d3 e6f6 d3d2 d5c3 h5h4 g3h4 d6f4 f6g6 c6b6 g6f5 f4h6 f5e4 h6g7 c3d1 b6a6 e4d3 g7h6 d3c2 a6b6 d1f2 a7a5 f2e4 a5a4 b3a4 b6a5 e4d2 a5a4 d2e4 a4b4 c2d3 h6f8 e4f6 f8h6 f6d5 b4b3 d5e7 h6g7 e7f5 g7f6 h4h5"
"1983404"	"Bayern-ch 78th"	"Vaterstetten"	"2007.08.18"	"1"	"Walter, Florian"	"Bensch, Patrick"	"1/2-1/2"	1860	2216	NA	NA	NA	NA	""
"487022"	"ESP-ch op-A"	"Cala Mendia"	"2001.11.25"	"9"	"Mascaro March, Pedro"	"Galiana Salom, Juan Ramon"	"1-0"	2298	2235	NA	NA	NA	NA	"e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 e4e5 f6d7 f2f4 c7c5 g1f3 b8c6 c1e3 a7a6 d1d2 b7b5 d4c5 d7c5 d2f2 b5b4 e3c5 b4c3 b2b3 d8a5 c5f8 e8f8 f1d3 g7g6 e1g1 a8b8 f2h4 a5c5 g1h1 c5e7 h4h6 f8g8 a2a3 e7f8 h6h4 h7h6 h4e1 d5d4 d3e4 b8b6 e1f2 f8c5 f1d1 g8h7 h2h4 h8d8 h4h5 f7f5 h5g6 h7g6 e4c6 c5c6 f2h4 d8g8 d1d4 b6b7 h4f6 g6h5 f6h4 h5g6 d4d3 b7g7 a1g1 c8b7 f3d4 c6b6 d4e6 b6e6 d3d6 e6d6 e5d6 g6h7 h4f2 b7e4 h1h2 g7d7 f2d4 g8g6 d4c3 g6d6 c3b4 d6d2 c2c4 d2d3 g2g4 f5g4"
"85667"	"RUS-chT U16-B"	"Rybinsk"	"2000.??.??"	"?"	"Dobrov, Vladimir"	"Melnikov, Dmitry"	"0-1"	2272	2185	NA	NA	NA	NA	"d2d4 d7d5 c2c4 e7e6 g1f3 c7c6 b1c3 d5c4 c1g5 f8e7 g5e7 g8e7 e2e4 b7b5 a2a4 d8b6 a4b5 c6b5 b2b3 e8g8 b3c4 b5c4 f1c4 c8a6 c4a6 b8a6 e1g1 f8c8 a1a3 c8c4 d1a1 a6b4 f1b1 a8c8 h2h4 e7c6 d4d5 c6d4 c3a4 d4e2 g1f1 b6b5 g2g3 e2g3 f1g2 g3e4 d5e6 f7e6 a1e5 b5e8 a4b2 e8g6 g2h2 e4f2 b1g1 f2g4 g1g4 c4g4 a3c3 c8f8 f3g5 g4h4 h2g3 h4h5 e5e6 g6e6 g5e6 f8e8 e6f4 h5g5 g3h4 g5f5 f4h3 b4d5 c3c5 e8e4 h4g3"
"716749"	"Tarragona Province-ch 45th"	"Tarragona"	"2002.10.06"	"1"	"Martinez Pena, Manuel"	"Tarraga Borrull, Antoni"	"1-0"	2161	1995	NA	NA	NA	NA	"b1c3 g8f6 e2e4 d7d6 d2d4 b8d7 g1f3 e7e5 f1c4 c7c6 d4e5 d6e5 f3g5 b7b5 c4f7 e8e7 f7b3 d8a5 e1g1 d7c5 c1e3 c5b3 a2b3 a5c7 f2f4 h7h6 g5f3 e5f4 e3d4 f6g4 h2h3 g4e3 d4e3 f4e3 f3h4"
"2004692"	"Apeldoorn Aventus op"	"Apeldoorn"	"2007.09.08"	"4"	"Nijboer, Friso"	"Laarhoven, Thijs"	"1-0"	2562	2164	NA	NA	NA	NA	"e2e4 d7d5 e4d5 d8d5 b1c3 d5a5 d2d4 g8f6 c1d2 c7c6 f1c4 c8f5 d1e2 a5c7 g1f3 e7e6 f3e5 b8d7 e1c1 d7e5 d4e5 f6d5 g2g4 f5g6 f2f4 e8c8 h1f1 d5c3 d2c3 d8d1 e2d1 b7b5 c4b3 g6e4 d1e2 e4d5 b3d5 e6d5 f4f5 f8e7 c1b1 h8e8 e2d3 e7c5 a2a3 c8b7 f1e1 c7d7 e1e2 c5b6 d3f3 b6c7 c3d4 c7b6 d4b6 a7b6 f3e3 d7e7 e5e6 f7e6 f5e6 e8f8 e2e1 h7h6 e3e5 f8f2 h2h4 f2f3 g4g5 h6g5 h4g5 g7g6 e5h2 f3f5 h2h6 e7e8 h6g7 b7b8 e1h1 f5f8 h1h7"
"1457983"	"GER-chT Seniors 14th"	"Sottrum"	"2005.09.22"	"5"	"Rosen, Willy"	"Gohlke, Herbert"	"1/2-1/2"	2267	2166	NA	NA	NA	NA	"e2e4 b8c6 g1f3 e7e5 f1b5 c6d4 f3d4 e5d4 e1g1 f8c5 c2c3 c7c6 b5c4 d7d6 d2d3 b7b5 c4b3 g8f6 c1g5 h7h6 g5h4 c8g4 d1c2 d8d7 f2f3 g4e6 h4f2 d4c3 b2c3 c5f2 c2f2 a7a5 b1d2 e6b3 a2b3 e8g8 a1a2 a8a6 f1a1 f8a8 d2f1 d7e6"
