"Event"	"Site"	"Date"	"Round"	"White"	"Black"	"Result"	"WhiteElo"	"BlackElo"	"WhiteTitle"	"BlackTitle"	"WhiteFideId"	"BlackFideId"	"Movetext"
"820776"	"POL-ch 60th"	"Warsaw"	"2003.04.29"	"8"	"Jakubowski, Krzysztof"	"Jaracz, Pawel"	"0-1"	2483	2549	NA	NA	NA	NA	"e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 b8c6 b1c3 d8c7 f1e2 a7a6 e1g1 g8f6 g1h1 c6d4 d1d4 f8c5 d4d3 b7b5 c1g5 c8b7 f2f4 c5b4 e2f3 b4c3 b2c3 a8c8 g5f6 g7f6 a1d1 e8e7 e4e5 f6f5 d1d2 b7f3 f1f3 h8g8 d3f1 c7c4 f1f2 c4a2 f3d3 c8c7 h2h3 a2c4 f2b6 g8g6 b6d6 e7e8 d2d1 a6a5 d6a3 c4f4 a3a5 f4e4 d3d2 e4e5 a5a8 e8e7 a8a3 e7f6 a3f8 c7c3 f8h8 g6g7 h8d8 f6g6 d8d7 h7h6 d7b7 g6f6 d1b1 c3e3 d2d1 e5c3 d1d3 e3d3 c2d3 c3d3 b7b5 d3b5 b1b5 g7g8 h1h2 f5f4 b5b7 g8a8 h2g1 a8a2 b7c7 e6e5 c7b7 f6g6 b7e7 f7f6 e7e8 g6f5 e8h8 e5e4 g1f1 e4e3 h8e8 h6h5 e8h8 f4f3 g2f3 a2f2 f1e1 f2f3 h8h5 f5e4 h5h8 f6f5 h8e8 e4f4 h3h4 f3h3 e1e2 h3h2 e2d3 h2d2 d3c3 f4f3 h4h5 d2h2 c3d3 f5f4 e8e5 h2d2 d3c3 d2d6"
"430709"	"BCF-chT3 0102 (4NCL)"	"Birmingham"	"2002.01.19"	"5.3"	"Davies, Christopher"	"Thomas, Nicholas"	"0-1"	2076	2201	NA	NA	NA	NA	"e2e4 e7e6 g1f3 d7d5 e4e5 c8d7 f1e2 f7f6 a2a3 c7c5 b2b4 c5b4 d2d4 b4a3 e1g1 b8c6 b1a3 f6e5 f3e5 c6e5 d4e5 f8c5 e2d3 g8e7 d1f3 d8a5 c1g5 e8c8 a3b5 a5b6 b5a7 c8b8 f1b1 b6c7 d3a6 b7b6 g5e7 c5e7 a6b5 e7c5 f3b3 h8f8 b3a4 f8f2 g1h1 d7b5 b1b5 d8d7 a7c8 c7c8 a4a8 b8c7"
"1536689"	"Krakow op-B"	"Krakow"	"2005.12.30"	"4"	"Jackowska, Aleksandra"	"Rawicz, Karol"	"1-0"	1991	1800	NA	NA	NA	NA	"e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 a2a4 e7e6 f1e2 f8e7 e1g1 e8g8 c1e3 d8c7 f2f4 b8c6 h2h3 f8e8 d1e1 c6d4 e3d4 e6e5 d4e3 e5f4 f1f4 d6d5 e1f2 d5e4 c3e4 f6d5 f4f7 d5e3 f2e3 c8e6 f7f2 e6d5 e2d3 e7f8 e3f4 a8c8 f4h4 h7h6 f2e2 e8e5 h4g4 c7b6 g1h1 c8e8 a1e1 b6e6 g4e6 e5e6 h1h2 g8f7 h2g3 f7e7 e4c3 e7d6 c3d5 e6e2 d3e2"
"998191"	"Catalunya-chT"	"Spain"	"2004.??.??"	"?"	"Abad Sanmartin, Jorge"	"Panelo Munoz, Marcelo A"	"0-1"	2120	2335	NA	NA	NA	NA	"d2d4 d7d5 g1f3 g8f6 c2c4 c7c6 b1c3 e7e6 c4d5 e6d5 c1g5 f8e7 d1c2 g7g6 e2e3 c8f5 f1d3 f5d3 c2d3 e8g8 e1g1 b8d7 a1b1 a7a5 a2a3 f8e8 g5f4 f6h5 f1c1 h5f4 e3f4 a5a4 c1e1 d7b6 f3e5 e7d6 e1e2 g8g7 g2g3 f7f6 e5f3 e8e2 d3e2 d8d7 b1e1 b6c4 e2c2 b7b5 f3d2 c4b6 c3a2 a8c8 c2d3 d6f8 a2c3 c8d8 e1e3 g7f7 h2h4 d7f5 d3f5 g6f5 c3e2 b6c4 d2c4 d5c4 e3c3 c6c5 d4d5 d8d5 c3c2 b5b4 g1g2 c4c3 b2c3 b4b3"
"1008971"	"AZE-ch U18"	"Baku"	"2004.01.28"	"?"	"Akberov, R."	"Mammadov, Oktay"	"0-1"	NA	NA	NA	NA	NA	NA	"d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 g1f3 e8g8 e2e3 d7d6 h2h3 b8d7 f1d3 e7e5 d1c2 e5d4 e3d4 f8e8 c1e3 d7f8 e1g1 a7a6 c2b3 b7b6 a1d1 c8b7 d4d5 f6d7 c3e2 d7c5 b3c2 f8d7 b2b4 c5d3 c2d3 d7e5 f3e5 d6e5 f2f3 b7c8 e2g3 f7f5 e3f2 g7f8 c4c5 a6a5 a2a3 b6c5 b4c5 c8a6 d3b3 a8b8 b3a2 a6f1 g1f1 g8h8 a2c4 d8d7 g3e2 d7b5 c4c3 b5b3 c3c1 b3b2 c1g5 b2a3 d5d6 a3b3 d1d2 c7d6 c5d6 b3e6 f3f4 f8d6 e2c3 d6b4 d2c2 b4c3 c2c3"
"1702671"	"EU-ch U10"	"Herceg Novi"	"2006.09.14"	"5"	"Berbatov, Kiprian"	"Liodakis, Konstantinos Spyros"	"1-0"	NA	NA	NA	NA	NA	NA	"e2e4 e7e6 d2d4 d7d5 b1d2 b8d7 g1f3 c7c6 f1d3 f8d6 e1g1 g8e7 f1e1 e7g6 e4d5 c6d5 d2f1 d7f6 c2c3 d8c7 d1b3 c8d7 c1g5 g6f4 g5f4 d6f4 f3e5 e8g8 a1d1 d7c6 d3b1 f6d7 b3c2 g7g6 e5g4 h7h5 e1e6 d7b6 g4f6 g8g7 f6h5 g7h8 h5f4 c7f4 e6e3 b6c4 e3h3 h8g7 d1d3 c6d7 d3f3 f4d6 h3g3 d6e6 f1e3 c4e3 f2e3 e6c6 h2h4 f8h8 h4h5 h8h5 f3f7 g7f7 c2g6 c6g6 b1g6 f7f6 g6h5 a8h8 h5f3 d7c6 g3h3 h8e8 g1f2 e8g8 h3h5 f6e6 c3c4 g8d8 c4d5"
"1177264"	"Collado Villalba op-A 21st"	"Collado Villalba"	"2004.08.23"	"1"	"Moreno Ruiz, Javier"	"Paredes Mancha, Antonio Angel"	"1-0"	2463	2032	NA	NA	NA	NA	"d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c4d5 e6d5 c1g5 f8e7 e2e3 e8g8 f1d3 c7c6 d1c2 b8d7 g1e2 f8e8 h2h3 d7f8 e1c1 c8d7 g2g4 b7b5 e2g3 a7a5 c1b1 a5a4 g3f5 d7f5 g4f5 d8a5 c3e2 e8c8 h1g1 b5b4 c2d2 b4b3 a2a3 a5d2 d1d2 f8d7 e2c3 g8h8 f2f3 e7f8 e3e4 c8e8 d2g2 c6c5 d3b5 e8b8 e4e5 c5d4 e5f6 d7f6 g5f6 d4c3 g2g7 c3c2 b1c1 f8g7 f6g7 h8g8 g7e5 g8f8 e5d6"
"732434"	"Euskadi-POR"	"San Sebastian"	"2002.12.21"	"1.1"	"Damaso, Rui"	"Izeta Txabarri, Felix"	"1-0"	2450	2466	NA	NA	NA	NA	"d2d4 g8f6 g1f3 c7c5 d4d5 b7b5 c1g5 d8b6 a2a4 c8b7 a4b5 f6d5 e2e4 d5c7 b1c3 c7e6 g5h4 h7h6 f1c4 g7g5 h4g3 f8g7 e1g1 b6d8 c4d5 d8c8 d5b7 c8b7 d1d5 b7d5 e4d5 e6f4 b5b6 a7a5 g3f4 g5f4 c3b5"
"319006"	"SLO-ch U20"	"Kranj"	"2001.??.??"	"7"	"Lazar, Ales Ml"	"Lenic, Luka"	"1-0"	2157	2098	NA	NA	NA	NA	"e2e4 c7c5 c2c3 d7d5 e4d5 d8d5 d2d4 b8c6 g1f3 c8g4 f1e2 e7e6 h2h3 g4h5 e1g1 c5d4 c3d4 g8f6 b1c3 d5a5 d1b3 a5b4 f1d1 a8d8 c1g5 h5f3 b3b4 f8b4 e2f3 c6d4 f3b7 b4c3 b2c3 d4f5 c3c4 e8e7 c4c5 d8d1 a1d1 h8d8 d1c1 f5d4 g1f1 d4b5 c5c6 b5c7 g5e3 a7a6 e3c5 e7e8 c5b6 f6d5 b6a5 e8e7 f1e2 e7d6 e2d3 f7f5 d3c4 d8e8 c1d1 g7g5 a5b4 d6e5 d1e1 e5f6 b4a5 f6e7 c4c5 c7b5 b7a6 b5d6 a6b7 d6e4 c5b5 e7d6 e1c1 d5c7 b5b6 e4f6 a5b4 d6e5 b4c3 e5d6 c3f6 c7d5 b6b5 d5f6 c6c7"
"1507045"	"Oberliga Nord W 0506"	"Germany"	"2006.01.29"	"6.3"	"Buchenau, Frank"	"Usachyi, Vladimir"	"1-0"	2334	2216	NA	NA	NA	NA	"e2e4 e7e5 g1f3 b8c6 f1c4 f8e7 e1g1 g8f6 d2d3 d7d6 f1e1 e8g8 a2a4 h7h6 a4a5 a7a6 c2c3 f6h7 c1e3 e7g5 f3g5 h7g5 f2f4 e5f4 e3f4 g5e6 f4g3 d8g5 e1f1 c8d7 b1d2 c6e7 d2f3 g5g4 d1d2 e7g6 a1e1 d7c6 d2f2 a8d8 b2b4 d6d5 e4d5 c6d5 c4d5 d8d5 d3d4 c7c6 f3d2 e6g5 h2h3 g4c8 d2c4 c8d8 h3h4 g5e6 c4b6 d5b5 e1e4 g6e7 f2e1 b5f5 e4e5 f5f1 e1f1 e6c7 f1e1 e7d5 c3c4 d5b6 a5b6 c7e6 d4d5 c6d5 c4d5 e6d4 e1e4 d4b5 g3f2 b5d6 e4f4 f8e8 f2c5 e8e5 f4e5 d6e8 c5d4 d8d7 g1f2 e8f6 e5b8 f6e8 f2e3 g8h7 d4e5 h6h5 e5c7 e8f6 b8b7 f6d5 e3f2 d7f5 f2g1 d5e3 b7f3 f5b1 g1h2 e3g4 f3g4 h5g4 b6b7 b1e1 c7g3 e1b4 b7b8Q b4b8 g3b8 a6a5 h2g3 f7f5 g3f4 h7g6 g2g3 g6f6 b8e5 f6g6 e5c3 a5a4 c3b2 g6h5 b2g7 a4a3 f4f5 a3a2"
