"Event"	"Site"	"Date"	"Round"	"White"	"Black"	"Result"	"WhiteElo"	"BlackElo"	"WhiteTitle"	"BlackTitle"	"WhiteFideId"	"BlackFideId"	"Movetext"
"213001"	"World University-ch 6th"	"Golden Sands"	"2000.09.07"	"7"	"Filippov, Valerij"	"Janssen, Ruud"	"1-0"	2593	2414	NA	NA	NA	NA	"g1f3 g8f6 c2c4 b7b6 g2g3 c7c5 f1g2 c8b7 e1g1 g7g6 b1c3 f8g7 d2d4 c5d4 d1d4 d7d6 f1d1 b8d7 c1e3 a8c8 b2b3 e8g8 d4h4 a7a6 a1c1 c8c7 f3e1 b7g2 e1g2 d8b8 g2f4 f8e8 f4d5 c7c8 e3g5 b8b7 d1d3 d7e5 g5f6 e7f6 d3d1 f6f5 d5f6 g7f6 h4f6 b6b5 c4b5 a6b5 f6d6 c8c6 d6d4 b7c8 d4d2 c8a6 c3d5 c6c1 d2c1 b5b4 d5c7 a6e2 c7e8 e5f3 g1g2 f3h4"
"4951"	"Oberliga Ost-B 9900"	"Germany"	"1999.10.10"	"1.7"	"Malek, Daniel"	"Wallrabenstein, Udo"	"1-0"	2114	2128	NA	NA	NA	NA	"d2d4 g7g6 c2c4 f8g7 e2e4 d7d6 b1c3 e7e5 g1f3 b8c6 c1e3 f7f5 e4f5 c8f5 f1e2 a7a6 e1g1 e5d4 f3d4 c6d4 e3d4 g7d4 d1d4 d8f6 d4e3 f6e6 e3f3 e8c8 g2g4 d8f8 g4f5 f8f5 f3e4 f5g5 g1h1 e6d7 e4d4 d7h3 f1g1 g5g1 a1g1"
"714857"	"BCF-chT2 0203 (4NCL)"	"West Bromwich"	"2003.05.04"	"10.6"	"Pritchard, David Brine"	"Upton, Ian J"	"1/2-1/2"	1768	2224	NA	NA	NA	NA	"e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 d1g4 c5d4 g1f3 b8c6 f1d3 f7f5 g4g3 d8c7 e1g1 g8h6 c1h6 g7h6 a2a3 c7f7 h2h3 f7g7 g3g7 f8g7 f1e1 c8d7 b2b4 e8g8 b1d2 f8c8 d2b3 g7f8 b3d4 a7a5 b4b5 c6d8 e1c1 c8c3 a3a4 a8c8 d4e2 c3c5 e2f4 f8e7 c1e1 d7e8 f3d4 e8f7 d4b3 c5c7 e1e2 e7b4 a1d1 b4c3 g2g4 f5g4 h3g4 f7e8 g1h1 c7g7 d1g1 g7g5 f4h3 g5e5 e2e5 c3e5 b3a5 c8a8 a5b3 a8a4 b3c5 a4b4 c5e6 d8e6 g1e1 e5d4 e1e6 e8b5 d3b5 b4b5 h1g2 b5c5 e6b6 c5c7 b6b5 d4f6 h3f4"
"1804788"	"NZL-ch Major op"	"Wanganui"	"2007.01.??"	"11"	"Holdaway, Stewart"	"Yip, Edwin"	"0-1"	NA	NA	NA	NA	NA	NA	"g1f3 d7d5 d2d4 c7c5 b1c3 b8c6 e2e4 d5e4 c3e4 c5d4 f1c4 g8f6 f3g5 e7e6 d1f3 f8e7 e1g1 e8g8 e4f6 e7f6 f3h5 h7h6 g5e4 c6e5 e4f6 d8f6 c4d3 e5d3 c2d3 b7b6 b2b3 c8a6 f1d1 a8c8 c1a3 f8d8 d1d2 d8d5 h5d1 g7g5 a1c1 c8c1 d1c1 f6d8 d2c2 g8g7 c1d1 g7g6 d1f3 d8f6 f3f6 g6f6 c2d2 d5d7 g1f1 e6e5 f1e1 f6e6 a3b2 h6h5 e1d1 f7f5 b2a1 f5f4 h2h3 e6f5 a1b2 g5g4 h3h4 a6b7 g2g3 d7f7 d1e1 f5e6 d2e2 e6d6 b2a3 d6d5 g3f4 f7f4 e2d2 f4f7 e1d1 d5e6 a3c1 e6f5 d2e2 b7f3 c1g5 f7c7"
"190772"	"Nice op 7th"	"Nice"	"2000.08.07"	"1"	"Barsov, Alexei"	"Ruiz, Richard"	"1-0"	2534	2145	NA	NA	NA	NA	"d2d4 g8f6 g1f3 g7g6 c2c4 f8g7 b1c3 d7d6 e2e4 c8g4 d1b3 g4f3 g2f3 b8c6 c1e3 f6d7 e1c1 e7e5 d4e5 d7e5 f1e2 b7b6 f3f4 e5d7 e4e5 d6e5 f4e5 e8g8 f2f4 g7h6 c3e4 g8h8 e4f6 c6b8 e2f3 c7c6 f6d7"
"1518089"	"San Francisco Capps Memorial"	"San Francisco"	"2005.11.05"	"3"	"Oza, Nikunj"	"Boyd, Thomas"	"1-0"	1886	1595	NA	NA	NA	NA	"d2d4 d7d5 g1f3 g8f6 c1f4 c8g4 b1d2 e7e6 c2c3 f8d6 f4g3 d6g3 h2g3 b8c6 d1a4 d8d7 e2e3 c6e7 a4b3 c7c6 f3e5 d7c7 e5g4 f6g4 f1e2 g4e3 f2e3 c7g3 e1f1 e7f5 e2f3 f5e3 f1e2 e3g4 f3g4 g3g4 e2f2 g4f4 d2f3 e8g8 b3c2 h7h6 h1h4 f4f5 c2f5 e6f5 a1h1 f7f6 h4h5 f5f4 h5h4 g8h7 h4f4 g7g5 f4g4 a8e8 f3d2 h7g6 g4g3 h6h5 h1e1 e8e1 f2e1 f8e8 e1f2 f6f5 g3e3 e8e3 f2e3 f5f4 e3f3 g6f5 f3f2 g5g4 f2e2 h5h4 e2f2 b7b5 d2b3 h4h3 g2h3 g4h3 b3c5 f5g4"
"936696"	"Hessenliga 0304"	"Germany"	"2004.05.09"	"9.7"	"Dorst, Johannes"	"Schindler, Viktor2"	"1-0"	2129	NA	NA	NA	NA	NA	"e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 a7a6 a2a4 d7d6 b1c3 b8d7 f1e2 d8c7 e1g1 g8f6 f2f4 f8e7 g1h1 b7b6 e2f3 c8b7 d1e1 g7g6 e4e5 b7f3 e5f6 f3g2 h1g2 d7f6 d4f3 e8g8 c1e3 f6g4 e3d4 g4h6 e1f2 a8b8 f2e2 c7b7 e2e4 h6f5 e4b7 b8b7 d4f2 e7f6 c3e4 f6g7 c2c3 d6d5 e4d2 g7h6 f3g5 e6e5 d2f3 e5f4 a1d1 f8d8 f1e1 f7f6 g5e6 d8d6 e6d4 f5e3 f2e3 f4e3 d4c2 b6b5 a4a5 b7e7 d1d3 g8f7 c2e3 h6e3 e1e3 e7e3 d3e3 h7h6 f3d4 f6f5 g2f3 f7f6 e3e8 f6f7 e8c8 d6f6 c8c7 f7e8 c7c6 e8e7 c6f6 e7f6 d4c6 g6g5 c6b4 f6e5 b4a6 g5g4 f3f2 f5f4 a6c7 b5b4 a5a6 b4c3 b2c3 e5d6 a6a7 d6c7 a7a8Q c7d6 a8a6 d6e5 a6h6 e5f5"
"1341957"	"UKR-chT 12th"	"Alushta"	"2005.04.13"	"8.2"	"Zubarev, Alexander2"	"Baryshpolets, Andrey"	"1-0"	2514	2158	NA	NA	NA	NA	"e2e4 c7c5 b1c3 b8c6 g1f3 g7g6 d2d4 c5d4 f3d4 f8g7 c1e3 g8f6 f1c4 d8a5 e1g1 e8g8 c4b3 d7d6 h2h3 c8d7 f2f4 a8c8 d1f3 a7a6 g2g4 e7e5 d4c6 d7c6 f4f5 g6f5 f3f5 c6d7 f5f3 c8c3 b2c3 d7c6 g4g5 c6e4 g5f6 e4f3 f6g7 g8g7 f1f3 f7f5 f3g3"
"876057"	"Dortmund op-A"	"Dortmund"	"2003.08.01"	"1"	"Raabe, Joachim"	"Marganiec, Wolfgang"	"1-0"	2089	1749	NA	NA	NA	NA	"c2c4 e7e5 g2g3 g8f6 f1g2 b8c6 b1c3 f8e7 g1f3 e8g8 e1g1 d7d5 c4d5 f6d5 d2d3 d5b6 b2b3 c8e6 c1b2 f7f6 a1c1 d8d7 c3e4 a8d8 d1c2 e6h3 e4c5 e7c5 c2c5 h3g2 g1g2 d7d5 b2a3 f8f7 c1c2 d5c5 a3c5 b6d7 f1c1 d7c5 c2c5 a7a6 a2a3 d8d7 b3b4 c6d8 a3a4 d8e6 c5c4 c7c6 c1b1 e6c7 f3d2 d7d4 c4d4 e5d4 d2b3 c7e6 g2f3 f6f5 h2h4 g7g6 b3c5 e6c5 b4c5 g8g7 b1b4 f7d7 a4a5 g7f6 e2e3 d4e3 f3e3 h7h6 f2f4 d7d5 b4b7 d5c5 b7b6 c5a5 b6c6 f6f7 h4h5 g6h5 c6h6 a5a1 h6h5 f7g6 h5g5 g6f6 g5g8 f6e6 g8g6 e6f7 g6b6 a6a5 b6a6 a1g1 e3f2 g1a1 f2e3 a1a4 e3f3 a4a3 f3e3 a3a4 e3d2 a4a3 d2c2 a5a4 a6a5 f7e6 a5e5 e6f6 e5e1 a3a2 c2c3 a2g2 e1a1 g2g3 a1a4 g3f3 a4d4 f3f1 c3c4 f6e6 c4b5 f1c1 d4c4 c1d1 d3d4 d1d2 c4c3 d2d1 c3e3 e6f6 d4d5 d1f1 d5d6 f1c1"
"1698061"	"Paington op"	"Paington"	"2006.09.07"	"5"	"Regis, David"	"Spanton, Timothy"	"1-0"	2044	2075	NA	NA	NA	NA	"g2g3 c7c5 f1g2 b8c6 c2c4 g7g6 b1c3 f8g7 e2e3 d7d6 g1e2 e7e5 e1g1 g8e7 d2d3 e8g8 a2a3 f7f5 a1b1 a7a5 c3d5 e7d5 g2d5 g8h8 c1d2 g6g5 f2f4 g5f4 e3f4 d8e7 b2b4 a5b4 a3b4 c5b4 d2b4 c6b4 b1b4 e5f4 e2f4 e7e3 g1h1 g7c3 d1h5 e3e8 h5e8 f8e8 b4b6 c3e5 f1e1 e8e7 d3d4 e5d4 e1e7 d4b6 f4h5 a8a1 h1g2 a1a2 g2f1"
