"Event"	"Site"	"Date"	"Round"	"White"	"Black"	"Result"	"WhiteElo"	"BlackElo"	"WhiteTitle"	"BlackTitle"	"WhiteFideId"	"BlackFideId"	"Movetext"
"1788265"	"RUS-ch (Women)"	"Gorodets"	"2006.12.02"	"2"	"Zaiatz, Elena"	"Kovalevskaya, Ekaterina"	"0-1"	2395	2434	NA	NA	NA	NA	"d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 d7d5 c4d5 d8d5 e2e3 c7c5 c1d2 b4c3 d2c3 c5d4 c3d4 b8c6 d4c3 c8d7 g1f3 a8c8 c2d3 e8g8 a2a3 f8d8 a1d1 d7e8 d3d5 f6d5 c3d2 d5f6 f1e2 f6e4 e1g1 e4d2 d1d2 d8d2 f3d2 g8f8 d2c4 f8e7 f1d1 c8d8 d1d8 c6d8 b2b4 e8b5 g1f1 b5c4 e2c4 d8c6 f1e1 a7a5 b4a5 c6a5 c4d3 h7h6 e1d2 e7d6 d2c3 d6c5 d3h7 a5c4 a3a4 g7g6 e3e4 e6e5 h7g8 c4d6 f2f4 e5f4 e4e5 d6c4 g8f7 c4e5 f7e8 g6g5 e8h5 b7b6 h2h3 e5c4 h5f3 c4e5 f3h5 e5d7 h5f3 d7f6 c3d3 h6h5 f3e2 g5g4 h3g4 h5g4 e2d1 c5d5 d1b3 d5e5 b3d1 f6e4 d1e2 e5d5 d3c2 g4g3 c2b3 d5e5"
"1639282"	"Brno Duras BVK op-A"	"Brno"	"2006.??.??"	"1"	"Rychtecky, Miroslav"	"Worek, Joanna"	"0-1"	2090	2280	NA	NA	NA	NA	"d2d4 d7d6 c2c4 e7e5 g1f3 b8d7 b1c3 g8f6 c1g5 f8e7 e2e3 e8g8 d1d2 e5d4 e3d4 d6d5 e1c1 c7c6 c4d5 f6d5 g5e7 d8e7 c3d5 c6d5 f1d3 d7f6 c1b1 c8d7 f3e5 a8c8 d2e2 f8e8 h1e1 d7a4 d1c1 e7b4 c1c8 e8c8 e5f7 c8e8 f7e5 b4d4 g2g3 e8e5 d3h7 g8h7 e2e5 d4f2 b2b3 a4b5 e1d1 f2f3 e5d4 b5e2 d1c1 e2d3 b1b2 f3e2 b2a3 a7a5 c1c7 b7b5 b3b4 d3b1 d4b2 a5b4 a3b3 e2b2 b3b2 b1d3 c7e7 d3c4 h2h3 d5d4 g3g4 d4d3 e7a7 f6d5"
"74820"	"Nu PTTH"	"Dong Thap"	"2000.??.??"	"1"	"Nguyen, Thi My"	"Le Cao Quynh, Thu"	"1-0"	NA	NA	NA	NA	NA	NA	"d2d4 d7d5 c2c4 e7e6 g1f3 g8f6 e2e3 c7c6 b1c3 b8d7 f1d3 f8d6 e1g1 e8g8 b2b3 b7b6 c1b2 c8b7 a1c1 h7h6 d1e2 f8e8 f1d1 c6c5 c3b5 d6e7 c4d5 e6d5 d4c5 b6c5 f3e5 a7a6 e5d7 d8d7 b5c3 e7d6 c3a4 d7d8 a4c5 d6c5 c1c5 a8c8 c5c8 d8c8 d1c1 c8a8 e2f3 d5d4 f3g3 a8d8 b2d4 f6h5 g3g4 h5f6 g4f5 b7e4 d3e4 f6e4 h2h3 f7f6 c1c6 e4d6 f5d5 d6f7 d5d8 e8d8 c6a6 d8c8 a2a4 c8c1 g1h2 c1c2 h2g3 f7g5 f2f3 c2c1 b3b4 g8f7 b4b5 g5e6 a6a7 f7e8 b5b6 e6d4 e3d4"
"181510"	"POL-chT U19 31st"	"Wisla"	"2000.07.26"	"8.5"	"Maj, Beata"	"Toma, Katarzyna"	"0-1"	NA	2131	NA	NA	NA	NA	"e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g7g6 c2c4 f8g7 c1e3 g8f6 b1c3 f6g4 d1g4 c6d4 g4d1 d4e6 a1c1 b7b6 f1e2 c8b7 f2f3 d8b8 d1d2 g7e5 g2g3 h7h5 c3d5 g6g5 d2b4 e5d6 b4c3 d6e5 c3b4 e5d6 b4c3 h8g8 h1g1 d6c5 e3c5 b6c5 b2b3 b7c6 c3a5 b8e5 a5d2 a7a5 c1d1 c6d5 d2d5 e5d5 d1d5 d7d6 e1f2 f7f6 f3f4 g8h8 f2e3 e8d7 g1d1 a8g8 e4e5 g5f4 g3f4 f6e5 f4e5 e6d4 e2f1 g8f8 f1g2 h5h4 h2h3 h8g8 d1g1 g8g3 e3e4 f8f2"
"1424712"	"American Continental 3rd"	"Buenos Aires"	"2005.08.16"	"11"	"Idiarte Borda, Jorge"	"Leeuw, Pablo Gabriel"	"1/2-1/2"	2157	2088	NA	NA	NA	NA	"g1f3 d7d5 b2b3 g8f6 c1b2 e7e6 e2e3 f8d6 g2g3 b7b6 f1g2 c8b7 e1g1 c7c5 d2d4 e8g8 b1d2 b8c6 a1c1 a8c8 a2a3 b7a6 f1e1 f8e8 f3e5 f6d7 e5c6 c8c6 c2c4 d7f6 d4c5 c6c5 b3b4 c5c7 b2f6 d8f6 d1a4"
"1681599"	"Canada zt"	"Toronto"	"2006.08.22"	"5"	"Masse, Hugues"	"Gerzhoy, Leonid"	"1/2-1/2"	2178	2386	NA	NA	NA	NA	"d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 e8g8 a2a3 b4c3 c2c3 b7b6 c1g5 c8b7 e2e3 d7d6 f2f3 b8d7 f1d3 a8c8 g1e2 c7c5 c3b3 h7h6 g5h4 c5d4 e3d4 e6e5 d3f5 g7g5 h4f2 b7a6 a1c1 d6d5 f5d3 e5d4 f2d4 f8e8 e1f2 d7c5 d4c5 c8c5 h1e1 d5c4 d3c4 a6c4 c1c4 c5e5 b3c3 d8e7 c3d2 f6d5 c4c1 e7f6 e2g3 d5f4 e1e5 f6e5 f2g1 h6h5 g3e4 f7f5 e4c3 h5h4 c1d1 g5g4 c3d5 e5d5 d2d5 f4d5 d1d5 g4f3 g2f3 e8e2 b2b4 h4h3 d5f5 e2g2 g1f1 g2h2 f5h5 g8g7 f1g1 h2a2 h5h3 a2a3 g1f2 a3a4 h3h4 g7f6 h4e4 f6f5 f2e3 a4a3 e3e2"
"1104435"	"Saarlouis op 7th"	"Saarlouis"	"2004.05.20"	"2"	"Ponnath, Lorenz"	"Farago, Ivan"	"0-1"	2140	2506	NA	NA	NA	NA	"d2d4 g8f6 g1f3 e7e6 g2g3 c7c5 f1g2 d8b6 e1g1 b8c6 c2c3 d7d5 d4c5 f8c5 b2b4 c5e7 c1e3 b6c7 a2a4 e8g8 b1a3 e6e5 d1b1 h7h6 b4b5 e7a3 a1a3 c6a5 b1b4 a5c4 f3d2 c4a3 b4a3 c8e6 a4a5 f8c8 d2b1 c7c4"
"858674"	"Sakharov Memorial op 2nd"	"Kiev"	"2003.07.11"	"5"	"Smachenko, Vasily"	"Kosikov, Andrey"	"0-1"	2221	2152	NA	NA	NA	NA	"e2e4 c7c5 c2c4 e7e5 b1c3 b8c6 g2g3 g7g6 d2d3 f8g7 c1e3 d7d6 f1g2 g8e7 g1e2 e8g8 d1d2 a7a6 h2h4 c6d4 e1c1 c8g4 d1e1 d4f3 g2f3 g4f3 h1h2 b7b5 e2g1 f3g4 f2f3 g4e6 c3d5 b5c4 d3c4 e6d5 c4d5 f7f5 h2f2 a8b8 g1h3 f5f4 g3f4 e5f4 h3f4 b8b2 d2b2 g7b2 f2b2 d8d7 f4e6 f8e8 c1d2 e7c6 f3f4 c6a5 d2e2 a5c4 b2c2 d7a4 e1c1 c4a3 c2c3 a3b5 c3c4 a4a2 c1c2 a2b3 e2f2 b5a3 c4c3 b3c2 c3c2 a3c2 e3d2 c2d4 e6d4 c5d4 f2f3 g8f7 d2b4 e8d8 f3e2 f7e8 e2d3 e8d7 d3d4 d8f8 d4e3 f8b8 b4c3 b8b3 e3d4 b3a3 e4e5 a3a4 d4d3 d6e5 f4e5 a4h4 c3b2 h4b4 e5e6 d7d6 b2a3 a6a5 d3c3 h7h5"
"713155"	"Olympiad-35"	"Bled"	"2002.11.10"	"14.2"	"Najjar, Ahmad"	"Fonseka, CKD."	"1-0"	2318	2141	NA	NA	NA	NA	"d2d4 g8f6 b1c3 d7d5 e2e3 c8f5 f1d3 f5g6 g1f3 e7e6 e1g1 f8d6 c3b5 d6e7 c2c4 g6d3 d1d3 e8g8 c1d2 b8d7 a1c1 c7c6 b5c3 e7d6 e3e4 d5e4 c3e4 f6e4 d3e4 f8e8 f1d1 d8b8 d2c3 d6f4 c1c2 d7f6 e4e2 b7b5 g2g3 b5b4 c3e1 f4d6 f3e5 c6c5 e5c6 b8c7 d4c5 d6c5 c6b4 a7a5 b4d3 e6e5 d3c5 c7c5 a2a3 a5a4 e1b4 c5a7 c4c5 a8d8 d1d8 e8d8 e2e5 d8d1 g1g2 h7h5 e5e2 d1d5 c5c6 a7a8 f2f3 a8c8 e2c4 d5e5 b4c3 e5e6 c3f6 e6f6 c6c7 f6d6 c4a4 g7g6 a4b4 d6e6 b4b8 e6e8 b8c8 e8c8 b2b4"
"1238995"	"Meyreuil Promotion 0405"	"Meyreuil"	"2004.10.16"	"1"	"Alpe, Jean Charles"	"Kolb, Sebastien"	"0-1"	1490	2040	NA	NA	NA	NA	"c2c4 g8f6 g2g3 g7g6 f1g2 f8g7 b1c3 e8g8 e2e4 d7d6 d2d3 c7c6 g1e2 e7e5 e1g1 f6h5 a1b1 a7a5 c1e3 f7f5 d1d2 b8d7 a2a3 d7f6 h2h3 f8f7 b2b4 a5b4 a3b4 d8f8 b4b5 f5f4 g3f4 e5f4 e2f4 h5f4 e3f4 f6h5 f4e3 h5f4 e3f4 f7f4 c3e2 f4h4 g1h2 c8h3 g2h3 f8f3 e2g3 f3g4 h2g2 g4h3 g2f3 h3g4 f3g2 g4h3 g2f3 c6b5 c4b5 a8f8 f3e2 h3g3 f2g3 h4h2 e2e1 f8f1 e1f1 h2d2 b1b3 d2b2 b3b2 g7b2 f1e2 b2d4 e2d2 g8f7 d2c2 f7e6 c2b3 e6e5"
